,text,line,start_pos,end_pos,file,Y,Predicted_Values
53,"['in', 'accordance', 'with', 'inspection', 'procedure', 'each', 'of', 'the', 'following', 'was', 'performance', 'deficiency', 'against', 'expected', 'licensed', 'operator', 'knowledge', 'and', 'greater', 'than', 'percent', 'of', 'the', 'crews', 'failing', 'their', 'and', 'greater', 'than', 'percent', 'of', 'the', 'licensed', 'operator', 'staff', 'failing', 'their', 'operating']",35,609,927,ML14041A484.txt,H,O
60,"['the', 'licensee', 'failed', 'to', 'determine', 'the', 'cause', 'of', 'the', 'train', 'class', 'air', 'conditioner', 'slug', 'flow', 'in', 'the', 'refrigerant', 'prior', 'to', 'experiencing', 'multiple', 'failures', 'and', 'plant']",35,2234,2420,ML14041A484.txt,O,O
65,"['the', 'performance', 'deficiency', 'is', 'more', 'than', 'minor', 'because', 'it', 'affected', 'the', 'equipment', 'performance', 'attribute', 'of', 'the', 'mitigating', 'systems', 'cornerstone', 'objective', 'to', 'ensure', 'the', 'and', 'capability', 'of', 'systems', 'that', 'respond', 'to', 'initiating', 'events', 'to', 'prevent', 'undesirable']",35,3010,3297,ML14041A484.txt,O,O
195,"['this', 'condition', 'was', 'later', 'able', 'to', 'be', 'analyzed', 'as', 'acceptable', 'without', 'performing', 'field', 'work', 'on', 'the', 'offsite']",103,1896,2008,ML14041A484.txt,T,O
205,"['the', 'analyst', 'made', 'the', 'bounding', 'assumption', 'that', 'inappropriate', 'maintenance', 'on', 'the', 'breaker', 'could', 'have', 'resulted', 'in', 'the', 'failure', 'of', 'bus']",107,189,348,ML14041A484.txt,O,O
414,"['the', 'performance', 'deficiency', 'is', 'more', 'than', 'minor', 'because', 'it', 'affected', 'the', 'equipment', 'performance', 'attribute', 'of', 'the', 'mitigating', 'systems', 'cornerstone', 'objective', 'to', 'ensure', 'the', 'and', 'capability', 'of', 'systems', 'that', 'respond', 'to', 'initiating', 'events', 'to', 'prevent', 'undesirable']",191,1100,1387,ML14041A484.txt,O,O
417,"['the', 'inspectors', 'determined', 'that', 'the', 'cause', 'of', 'the', 'finding', 'had', 'aspect', 'in', 'the', 'area', 'of', 'human']",191,2111,2227,ML14041A484.txt,T,O
423,"['contrary', 'to', 'the', 'between', 'september', 'and', 'october', 'the', 'licensee', 'failed', 'to', 'preclude', 'repetition', 'of', 'significant', 'condition', 'adverse', 'to']",191,3079,3234,ML14041A484.txt,O,O
722,"['the', 'team', 'confirmed', 'that', 'the', 'licensee', 'had', 'not', 'committed', 'to', 'developing', 'an', 'aging', 'management', 'program', 'for', 'their']",70,0,144,ML14087A338.txt,O,O
924,"['the', 'team', 'determined', 'that', 'this', 'finding', 'had', 'human', 'performance', 'cross', 'cutting', 'aspect', 'in', 'the', 'area', 'of', 'work']",102,315,429,ML14087A338.txt,O,O
1221,"['this', 'misunderstanding', 'was', 'called', 'to', 'the', 'attention', 'of', 'site', 'and', 'may', 'require', 'additional', 'clarification', 'for', 'staff', 'on', 'roles', 'and', 'responsibilities', 'for', 'executing', 'the', 'program']",142,1842,2031,ML14087A338.txt,T,T
1223,"['the', 'team', 'confirmed', 'that', 'the', 'licensee', 'documented', 'their', 'inspections', 'but', 'had', 'not', 'established', 'means', 'to', 'monitor', 'for', 'changes', 'as', 'specified', 'in', 'procedure']",142,2136,2293,ML14087A338.txt,O,O
1247,"['the', 'licensee', 'verified', 'that', 'years', 'of', 'oil', 'analysis', 'results', 'did', 'not', 'identify', 'the', 'total', 'acid', 'number', 'as', 'the', 'basis', 'for', 'an', 'oil']",144,2778,2908,ML14087A338.txt,O,O
1759,"['the', 'performance', 'deficiency', 'affected', 'the', 'and', 'capability', 'of', 'the', 'unit', 'tdafw', 'pump', 'to', 'provide', 'secondary', 'decay', 'heat']",99,1852,2013,ML12027A131.txt,O,O
2534,"['resulting', 'corrective', 'actions', 'included', 'lowering', 'the', 'threshold', 'for', 'bechtel', 'personnel', 'entering', 'issues', 'into', 'the', 'encouraging', 'personnel', 'to', 'enter', 'issues', 'into', 'thorough', 'and', 'timely', 'resolution', 'of', 'cap', 'and', 'the', 'use', 'of', 'the', 'point', 'beach', 'cap', 'for', 'all', 'issues', 'or', 'events', 'related', 'to', 'equipment', 'problems', 'within', 'the', 'scope', 'of', 'the', 'bechtel']",43,1682,2030,ML11244A041.txt,O,O
4366,"['pseg', 'did', 'not', 'identify', 'this', 'code', 'nonconformance', 'in', 'march', 'when', 'the', 'relief', 'requests', 'were']",87,1837,1939,ML072260460.txt,T,O
5469,"['the', 'fire', 'watches', 'failed', 'to', 'report', 'an', 'accumulation', 'of', 'combustibles', 'including', 'plastic', 'tool', 'and', 'large', 'roll', 'of', 'oil', 'absorbing', 'material', 'near']",45,3273,3465,ML11300A116.txt,O,O
