,class,end_pos,file,line,start_pos,text,type,Y,Predicted_Values
3,U,16,ML13308A903.txt,5,0.0,[],0.0,U,U
4,U,462,ML13308A903.txt,7,0.0,"['michael', 'pacilio', 'senior', 'vice', 'exelon', 'generation', 'llc', 'president', 'and', 'chief', 'nuclear', 'exelon', 'nuclear', 'winfield', 'road', 'il', 'dresden', 'nuclear', 'power', 'units', 'and', 'nrc', 'integrated', 'inspection', 'report', 'dear', 'on', 'september', 'the', 'nuclear', 'regulatory', 'commission', 'completed', 'an', 'integrated', 'inspection', 'at', 'your', 'dresden', 'nuclear', 'power', 'units', 'and']",0.0,U,U
5,U,616,ML13308A903.txt,7,462.0,"['the', 'enclosed', 'report', 'documents', 'the', 'results', 'of', 'this', 'which', 'were', 'discussed', 'on', 'october', 'with', 'marik', 'and', 'other', 'members', 'of', 'your']",0.0,U,U
6,U,731,ML13308A903.txt,7,616.0,"['based', 'on', 'the', 'results', 'of', 'this', 'one', 'finding', 'of', 'very', 'low', 'safety', 'significance', 'was']",0.0,U,U
7,U,784,ML13308A903.txt,7,731.0,"['the', 'finding', 'involved', 'violation', 'of', 'nrc']",0.0,U,U
9,U,1712,ML13308A903.txt,7,872.0,"['because', 'of', 'their', 'very', 'low', 'safety', 'and', 'because', 'the', 'issues', 'were', 'entered', 'into', 'your', 'corrective', 'action', 'the', 'nrc', 'is', 'treating', 'the', 'issues', 'as', 'violations', 'in', 'accordance', 'with', 'section', 'of', 'the', 'nrc', 'enforcement', 'policy', 'if', 'you', 'contest', 'the', 'subject', 'or', 'severity', 'of', 'the', 'you', 'should', 'provide', 'response', 'within', 'days', 'of', 'the', 'date', 'of', 'this', 'inspection', 'with', 'the', 'basis', 'for', 'your', 'to', 'the', 'nuclear', 'regulatory', 'document', 'control', 'dc', 'with', 'copy', 'to', 'the', 'regional', 'nuclear', 'regulatory', 'commission', 'region', 'warrenville', 'suite', 'il', 'the', 'office', 'of', 'nuclear', 'regulatory', 'dc', 'and', 'the', 'resident', 'inspector', 'office', 'at', 'the', 'dresden', 'nuclear', 'power']",0.0,U,U
10,U,1985,ML13308A903.txt,7,1712.0,"['in', 'accordance', 'with', 'cfr', 'of', 'the', 'of', 'copy', 'of', 'this', 'letter', 'and', 'its', 'and', 'your', 'response', 'will', 'be', 'available', 'electronically', 'for', 'public', 'inspection', 'in', 'the', 'nrc', 'public', 'document', 'room', 'or', 'from', 'the', 'publicly', 'available', 'records', 'system']",0.0,U,N
14,U,289,ML13308A903.txt,13,192.0,"['patricia', 'acting', 'chief', 'branch', 'division', 'of', 'reactor', 'projects', 'docket']",0.0,U,U
18,U,12,ML13308A903.txt,17,0.0,['approved'],0.0,U,U
19,U,9,ML13308A903.txt,19,0.0,['enclosure'],0.0,U,U
22,U,2,ML13308A903.txt,23,0.0,[],0.0,U,U
25,U,770,ML13308A903.txt,25,2.0,"['other', 'performance', 'indicator', 'verification', 'identification', 'and', 'resolution', 'of', 'problems', 'follow', 'up', 'of', 'events', 'and', 'notices', 'of', 'enforcement', 'discretion', 'other', 'activities', 'management', 'meetings', 'violations']",0.0,U,U
27,U,9,ML13308A903.txt,29,0.0,['enclosure'],0.0,U,U
28,U,203,ML13308A903.txt,31,0.0,"['summary', 'of', 'findings', 'inspection', 'report', 'dresden', 'nuclear', 'power', 'units', 'operability', 'determinations', 'and', 'functional']",0.0,U,U
31,U,463,ML13308A903.txt,31,389.0,"['the', 'finding', 'was', 'considered', 'violation', 'of', 'nrc']",0.0,U,U
