,end_pos,file,line,start_pos,text,Y,Predicted_Values
61,2682,ML14041A484.txt,35,2420,"['the', 'licensee', 'eventually', 'determined', 'that', 'the', 'probable', 'cause', 'of', 'the', 'failures', 'was', 'the', 'failure', 'to', 'adequately', 'chemically', 'clean', 'the', 'system', 'following', 'the', 'failure', 'of', 'charcoal', 'in', 'that', 'some', 'charcoal', 'and', 'cleaning', 'agent', 'was', 'not', 'removed', 'following', 'the', 'work']",O,O
65,3297,ML14041A484.txt,35,3010,"['the', 'performance', 'deficiency', 'is', 'more', 'than', 'minor', 'because', 'it', 'affected', 'the', 'equipment', 'performance', 'attribute', 'of', 'the', 'mitigating', 'systems', 'cornerstone', 'objective', 'to', 'ensure', 'the', 'and', 'capability', 'of', 'systems', 'that', 'respond', 'to', 'initiating', 'events', 'to', 'prevent', 'undesirable']",O,O
70,827,ML14041A484.txt,39,711,"['the', 'inspectors', 'determined', 'that', 'the', 'cause', 'of', 'the', 'finding', 'had', 'aspect', 'in', 'the', 'area', 'of', 'human']",O,O
411,938,ML14041A484.txt,191,785,"['failure', 'to', 'preclude', 'repetitive', 'failures', 'of', 'the', 'train', 'class', 'air', 'significant', 'condition', 'adverse', 'to', 'is', 'performance']",O,O
423,3234,ML14041A484.txt,191,3079,"['contrary', 'to', 'the', 'between', 'september', 'and', 'october', 'the', 'licensee', 'failed', 'to', 'preclude', 'repetition', 'of', 'significant', 'condition', 'adverse', 'to']",O,O
659,2997,ML14087A338.txt,40,2883,"['the', 'team', 'determined', 'that', 'this', 'finding', 'had', 'human', 'performance', 'cross', 'cutting', 'aspect', 'in', 'the', 'area', 'of', 'work']",O,O
801,2485,ML14087A338.txt,82,2258,"['the', 'team', 'determined', 'that', 'the', 'licensee', 'had', 'not', 'met', 'commitment', 'to', 'develop', 'reactor', 'vessel', 'internals', 'program', 'aging', 'management', 'program', 'as', 'described', 'in', 'letter', 'to', 'attachment', 'arkansas', 'nuclear', 'unit']",O,O
821,2427,ML14087A338.txt,84,2258,"['the', 'team', 'determined', 'that', 'the', 'program', 'document', 'did', 'not', 'describe', 'scheduling', 'basis', 'of', 'line', 'basis', 'for', 'inspection', 'and', 'plans', 'for']",O,O
2543,3393,ML11244A041.txt,43,3213,"['during', 'system', 'walkdown', 'with', 'licensee', 'the', 'drain', 'was', 'found', 'clogged', 'and', 'the', 'inspectors', 'noted', 'the', 'individual', 'had', 'not', 'planned', 'to', 'enter', 'the', 'issue', 'into', 'the', 'cap', 'enclosure']",H,O
2544,151,ML11244A041.txt,45,0,"['since', 'it', 'had', 'been', 'previously', 'even', 'though', 'newly', 'installed', 'equipment', 'may', 'have', 'affected', 'the', 'corrective', 'actions', 'or', 'priority', 'of', 'the', 'initial']",H,O
