,end_pos,file,line,start_pos,text,Y,Predicted_Values
64,3010,ML14041A484.txt,35,2857,"['failure', 'to', 'preclude', 'repetitive', 'failures', 'of', 'the', 'train', 'class', 'air', 'significant', 'condition', 'adverse', 'to', 'is', 'performance']",O,O
71,977,ML14041A484.txt,39,827,"['the', 'licensee', 'did', 'not', 'ensure', 'accurate', 'and', 'design', 'and', 'work', 'and', 'correct', 'labeling', 'of']",O,O
149,1390,ML14041A484.txt,81,1073,"['in', 'accordance', 'with', 'inspection', 'procedure', 'each', 'of', 'the', 'following', 'was', 'performance', 'deficiency', 'against', 'expected', 'licensed', 'operator', 'knowledge', 'and', 'greater', 'than', 'percent', 'of', 'the', 'crews', 'failing', 'their', 'scenarios', 'and', 'greater', 'than', 'percent', 'of', 'the', 'licensed', 'operator', 'staff', 'failing', 'their', 'operating']",O,O
419,2590,ML14041A484.txt,191,2377,"['specifically', 'applicable', 'housekeeping', 'requirements', 'detailed', 'in', 'station', 'procedure', 'system', 'were', 'not', 'met', 'during', 'the', 'chemical', 'cleaning', 'of', 'system', 'piping', 'on', 'may']",P,O
799,2065,ML14087A338.txt,82,1791,"['based', 'on', 'review', 'of', 'the', 'actions', 'implemented', 'related', 'to', 'the', 'reactor', 'vessel', 'internals', 'program', 'aging', 'management', 'the', 'team', 'could', 'not', 'conclude', 'that', 'the', 'licensee', 'implemented', 'actions', 'that', 'would', 'effectively', 'manage', 'the', 'effects', 'of', 'aging', 'during', 'the', 'period', 'of', 'extended']",O,O
919,3078,ML14087A338.txt,100,2922,"['the', 'team', 'determined', 'that', 'the', 'failure', 'to', 'assess', 'previous', 'indications', 'of', 'concrete', 'as', 'specified', 'in', 'plant', 'was', 'performance']",O,O
1940,2329,ML12027A131.txt,162,2116,"['the', 'inspectors', 'determined', 'that', 'the', 'cause', 'of', 'this', 'finding', 'was', 'related', 'to', 'the', 'work', 'practices', 'component', 'of', 'the', 'human', 'performance', 'area', 'due', 'to', 'human', 'error', 'prevention', 'techniques']",T,O
2597,429,ML11244A041.txt,61,319,"['the', 'condition', 'was', 'the', 'existence', 'of', 'the', 'ground', 'and', 'was', 'not', 'addressed', 'in', 'the', 'operability']",P,O
2616,2085,ML11244A041.txt,65,1718,"['the', 'inspectors', 'also', 'noted', 'that', 'nuclear', 'oversight', 'had', 'identified', 'four', 'instances', 'where', 'operability', 'determinations', 'were', 'not', 'prompt', 'or', 'initial', 'determinations', 'did', 'not', 'invoke', 'more', 'timely', 'and', 'rigorous', 'documentation', 'of', 'the', 'conditions', 'and', 'concluded', 'that', 'the', 'quality', 'of', 'some', 'of', 'the', 'operability', 'notes', 'could', 'be', 'improved', 'and', 'that', 'training', 'was', 'being', 'performed', 'to', 'address', 'the']",O,O
2635,1670,ML11244A041.txt,67,1524,"['the', 'ar', 'actions', 'did', 'not', 'try', 'to', 'determine', 'why', 'the', 'labels', 'were', 'not', 'corrected', 'as', 'part', 'of', 'the', 'recent', 'modification', 'or', 'determine', 'the', 'extent', 'of']",O,O
2862,1172,wat_2000010.txt,31,1045,"['the', 'licensee', 'entered', 'the', 'technical', 'specification', 'but', 'did', 'not', 'adequately', 'take', 'samples', 'once', 'per', 'hours', 'as', 'required', 'by', 'action']",O,O
3156,415,ML13182A476.txt,44,162,"['by', 'failing', 'to', 'establish', 'preventive', 'maintenance', 'strategy', 'for', 'fire', 'safe', 'shutdown', 'exelon', 'did', 'not', 'ensure', 'that', 'the', 'local', 'control', 'circuits', 'for', 'several', 'breakers', 'would', 'be', 'isolated', 'from', 'the', 'effects', 'of', 'fire']",O,O
3214,621,ML13182A476.txt,56,426,"['of', 'the', 'limerick', 'generating', 'station', 'operating', 'in', 'that', 'exelon', 'did', 'not', 'provide', 'adequate', 'procedural', 'guidance', 'for', 'transporting', 'the', 'fire', 'brigade', 'and', 'equipment', 'to', 'the', 'spray', 'pond', 'pump']",O,O
3764,1140,ML071350662.txt,31,869,"['the', 'inspectors', 'identified', 'green', 'noncited', 'violation', 'of', 'cfr', 'appendix', 'criterion', 'for', 'failure', 'to', 'assure', 'that', 'the', 'design', 'as', 'specified', 'in', 'the', 'license', 'was', 'correctly', 'translated', 'into', 'drawings', 'and', 'the', 'actual', 'plant']",D,O
4009,567,ML071350662.txt,161,380,"['this', 'failure', 'resulted', 'in', 'storing', 'the', 'train', 'dry', 'cooling', 'tower', 'sump', 'pump', 'near', 'nonseismic', 'equipment', 'which', 'could', 'fall', 'and', 'damage', 'the', 'pump', 'during', 'an']",D,O
