,text,line,start_pos,end_pos,file,Y,Predicted_Values
57,"['this', 'finding', 'has', 'crosscutting', 'aspect', 'in', 'the', 'area', 'of', 'human', 'performance', 'associated', 'with', 'because', 'the', 'licensee', 'failed', 'to', 'ensure', 'that', 'personnel', 'were', 'adequately', 'trained', 'to', 'assure', 'nuclear', 'safety']",35,1803,2013,ML14041A484.txt,H,H
146,"['there', 'were', 'two', 'crew', 'failures', 'and', 'individual']",81,918,974,ML14041A484.txt,T,O
149,"['in', 'accordance', 'with', 'inspection', 'procedure', 'each', 'of', 'the', 'following', 'was', 'performance', 'deficiency', 'against', 'expected', 'licensed', 'operator', 'knowledge', 'and', 'greater', 'than', 'percent', 'of', 'the', 'crews', 'failing', 'their', 'scenarios', 'and', 'greater', 'than', 'percent', 'of', 'the', 'licensed', 'operator', 'staff', 'failing', 'their', 'operating']",81,1073,1390,ML14041A484.txt,O,O
176,"['the', 'inspectors', 'identified', 'green', 'violation', 'of', 'cfr', 'for', 'the', 'failure', 'to', 'assess', 'risk', 'associated', 'with', 'an', 'emergent', 'maintenance', 'activity', 'performed', 'on', 'one', 'of', 'the', 'offsite', 'power', 'circuit', 'components', 'inside', 'the', 'wolf', 'creek']",99,573,819,ML14041A484.txt,T,T
186,"['operators', 'assumed', 'that', 'this', 'meant', 'that', 'the', 'task', 'had', 'been', 'to', 'be', 'low', 'so', 'no', 'risk', 'assessment', 'was']",103,152,275,ML14041A484.txt,P,O
194,"['realizing', 'potential', 'the', 'inspectors', 'brought', 'the', 'oversight', 'to', 'the', 'attention', 'of', 'licensee', 'who', 'immediately', 'directed', 'an', 'assessment', 'of', 'risk', 'and', 'wrote', 'condition', 'report', 'to', 'ensure', 'capture', 'of', 'emergent', 'switchyard', 'degraded', 'conditions', 'into', 'their', 'online', 'risk', 'assessment', 'program', 'as', 'required', 'by', 'cfr', 'and', 'station', 'procedure', 'ap']",103,1539,1896,ML14041A484.txt,O,O
197,"['the', 'inspectors', 'determined', 'that', 'failure', 'to', 'assess', 'risk', 'associated', 'with', 'an', 'emergent', 'maintenance', 'activity', 'in', 'accordance', 'with', 'station', 'procedure', 'ap', 'nuclear', 'safety', 'and', 'generation', 'risk', 'was', 'performance']",103,2017,2254,ML14041A484.txt,T,P
214,"['contrary', 'to', 'the', 'on', 'november', 'the', 'licensee', 'failed', 'to', 'assess', 'and', 'manage', 'the', 'increase', 'in', 'risk', 'that', 'may', 'result', 'from', 'the', 'proposed', 'maintenance']",107,1622,1786,ML14041A484.txt,T,O
294,"['the', 'licensee', 'determined', 'this', 'deficiency', 'existed', 'in', 'edcp', 'version', 'which', 'was', 'in', 'use', 'on', 'november', 'and', 'continued', 'to', 'exist', 'in', 'edcp', 'version', 'implemented', 'october']",145,2563,2744,ML14041A484.txt,D,O
390,"['the', 'noed', 'specified', 'the', 'most', 'likely', 'cause', 'was', 'slug', 'flow', 'caused', 'by', 'high', 'oil', 'level', 'or', 'malfunctioning', 'thermal', 'expansion']",187,1338,1461,ML14041A484.txt,D,O
408,"['the', 'root', 'cause', 'analysis', 'also', 'determined', 'that', 'the', 'work', 'performed', 'under', 'work', 'order', 'was', 'not', 'in', 'accordance', 'with', 'station', 'procedural']",191,214,369,ML14041A484.txt,P,P
418,"['the', 'licensee', 'did', 'not', 'ensure', 'accurate', 'and', 'design', 'and', 'work', 'and', 'correct', 'labeling', 'of']",191,2227,2377,ML14041A484.txt,T,O
657,"['the', 'nrc', 'identified', 'green', 'violation', 'of', 'mcguire', 'technical', 'specification', 'for', 'unit', 'for', 'having', 'an', 'inadequate', 'procedure', 'to', 'support', 'safe', 'shutdown', 'for', 'fire', 'in', 'fire', 'area']",39,937,1141,ML16021A133.txt,P,O
719,"['and', 'could', 'cause', 'the', 'valve', 'to', 'spuriously', 'as', 'identified', 'in', 'attachment', 'of', 'calculation']",47,0,143,ML16021A133.txt,P,O
720,"['the', 'failure', 'to', 'completely', 'and', 'accurately', 'translate', 'the', 'safe', 'shutdown', 'analysis', 'to', 'procedures', 'was', 'performance', 'deficiency']",47,143,279,ML16021A133.txt,P,O
1029,"['the', 'licensee', 'did', 'not', 'apply', 'systematic', 'approach', 'for', 'determining', 'the', 'appropriateness', 'of', 'compensatory', 'measures', 'while', 'making', 'operability', 'decisions', 'for', 'the', 'degraded', 'and', 'conditions', 'associated', 'with', 'the', 'rhr', 'recirculation', 'sump']",25,520,788,ML15313A275.txt,O,T
1204,[],111,0,10,ML15313A275.txt,T,O
1205,"['the', 'station', 'added', 'an', 'assignment', 'to', 'cap', 'to', 'revise', 'pod', 'which', 'determined', 'an', 'appropriate', 'compensatory', 'measure', 'to', 'install', 'information', 'tags', 'on', 'the', 'valve', 'hand', 'switches', 'in', 'the', 'control', 'room', 'to', 'enhance', 'valve', 'operation', 'based', 'on', 'the', 'pedigree', 'of', 'the', 'valves', 'maintained', 'and', 'tested', 'with', 'to', 'and', 'motor', 'overload']",111,10,385,ML15313A275.txt,P,O
1215,"['the', 'use', 'of', 'engineering', 'judgment', 'in', 'pods', 'there', 'were', 'inconsistencies', 'in', 'the', 'level', 'of', 'documented', 'bases', 'for', 'the', 'use', 'of', 'engineering']",111,2621,2775,ML15313A275.txt,T,O
1225,"['per', 'exhibit', 'systems', 'screening', 'the', 'inspectors', 'determined', 'that', 'because', 'the', 'finding', 'was', 'qualification', 'deficiency', 'and', 'did', 'not', 'impact', 'operability', 'of', 'the', 'ts', 'the', 'finding', 'screened', 'as', 'very', 'low', 'safety', 'significance']",119,1277,1524,ML15313A275.txt,O,O
1241,"['the', 'licensee', 'continued', 'with', 'troubleshooting', 'and', 'investigation', 'to', 'determine', 'the', 'cause', 'of', 'the', 'damper', 'at', 'hours', 'on', 'august', 'although', 'the', 'cause', 'and', 'corrective', 'action', 'was', 'not', 'determined', 'for', 'the', 'decision', 'was', 'made', 'that', 'the', 'building', 'ventilation', 'system', 'could', 'be', 'considered', 'functional', 'and', 'that', 'the', 'alignment', 'was', 'the', 'alignment', 'since', 'the', 'system', 'would', 'permit', 'full']",123,2187,2613,ML15313A275.txt,O,O
1255,"['the', 'declaration', 'that', 'the', 'affected', 'ts', 'sscs', 'were', 'and', 'not', 'degraded', 'or', 'with', 'determination', 'of', 'compensatory', 'measures', 'via', 'the', 'iod', 'or', 'pod', 'prior', 'to', 'was', 'not', 'in', 'accordance', 'with']",125,1858,2117,ML15313A275.txt,P,O
1483,"['example', 'specifically', 'licensee', 'fails', 'to', 'make', 'report', 'requirement', 'by', 'cfr', 'or', 'cfr']",211,1042,1155,ML15313A275.txt,P,O
1578,"['failure', 'to', 'track', 'the', 'growth', 'of', 'existing', 'cracks', 'on', 'the', 'reactor', 'building', 'could', 'allow', 'degradation', 'to', 'continue', 'to', 'the', 'point', 'of', 'affecting', 'the', 'structural']",40,2232,2404,ML14087A338.txt,T,O
1581,"['the', 'licensee', 'did', 'not', 'implement', 'process', 'of', 'and', 'executing', 'work', 'activities', 'such', 'that', 'nuclear', 'safety', 'was', 'the', 'overriding', 'priority']",40,2997,3175,ML14087A338.txt,O,O
1719,"['the', 'licensee', 'could', 'not', 'replace', 'the', 'bolts', 'because', 'of', 'interference', 'created', 'by', 'the', 'shock', 'pads', 'prevented']",82,1683,1791,ML14087A338.txt,D,O
1842,"['failure', 'to', 'track', 'the', 'growth', 'of', 'existing', 'cracks', 'on', 'the', 'reactor', 'building', 'could', 'allow', 'degradation', 'to', 'continue', 'to', 'the', 'point', 'of', 'affecting', 'the', 'structural']",100,3238,3410,ML14087A338.txt,O,O
1850,"['contrary', 'to', 'the', 'prior', 'to', 'september', 'for', 'inspection', 'activities', 'affecting', 'the', 'licensee', 'failed', 'to', 'inspect', 'previously', 'identified', 'crack', 'areas', 'to', 'confirm', 'no', 'changes', 'had', 'occurred', 'as', 'required', 'by']",102,1102,1325,ML14087A338.txt,O,O
2861,"['the', 'inspectors', 'determined', 'that', 'the', 'cause', 'of', 'this', 'finding', 'was', 'related', 'to', 'the', 'work', 'practices', 'component', 'of', 'the', 'human', 'performance', 'area', 'due', 'to', 'human', 'error', 'prevention', 'techniques']",162,2116,2329,ML12027A131.txt,T,H
2943,"['the', 'licensee', 'failed', 'to', 'ensure', 'during', 'safe', 'shutdown', 'involving', 'large', 'fire', 'in', 'the', 'unit', 'and', 'unit', 'rcs', 'process', 'variables', 'would', 'be', 'maintained', 'within', 'those', 'predicted', 'for', 'loss', 'of', 'normal', 'ac']",176,959,1174,ML12027A131.txt,O,O
3134,"['this', 'procedure', 'only', 'checked', 'that', 'the', 'seals', 'were', 'and', 'did', 'not', 'check', 'that', 'the', 'valves', 'were', 'in', 'the', 'correct']",36,418,554,ML17179A282.txt,P,P
3136,"['the', 'immediate', 'corrective', 'action', 'was', 'to', 'revise', 'station', 'procedure', 'to', 'include', 'directions', 'to', 'check', 'the', 'position', 'of', 'sealed', 'valves', 'in', 'addition', 'to', 'checking', 'that', 'the', 'valve', 'sealing', 'devices', 'were']",36,680,892,ML17179A282.txt,P,T
3138,"['failure', 'to', 'maintain', 'station', 'procedure', 'for', 'conducting', 'sealed', 'valve', 'in', 'violation', 'of', 'technical', 'specification', 'was', 'performance']",36,999,1157,ML17179A282.txt,P,O
3140,"['the', 'failure', 'to', 'correctly', 'identify', 'and', 'correct', 'out', 'of', 'position', 'division', 'rhr', 'minimum', 'flow', 'isolation', 'valves', 'resulted', 'in', 'unnecessarily', 'and', 'unknowingly', 'extending', 'the', 'inoperability', 'time', 'of', 'the', 'division', 'rhr', 'subsystem', 'by']",36,1510,1752,ML17179A282.txt,T,T
3315,"['because', 'of', 'this', 'the', 'licensee', 'revised', 'the', 'sealed', 'valve', 'audit', 'procedure', 'not', 'only', 'to', 'check', 'that', 'the', 'sealing', 'devices', 'are', 'but', 'to', 'check', 'valve', 'positions', 'as']",90,1913,2078,ML17179A282.txt,P,T
