,text,line,start_pos,end_pos,file,Y,Predicted_Values
37,"['the', 'inspectors', 'identified', 'green', 'violation', 'of', 'cfr', 'for', 'the', 'failure', 'to', 'assess', 'risk', 'associated', 'with', 'an', 'emergent', 'maintenance', 'activity', 'performed', 'on', 'one', 'of', 'the', 'offsite', 'power', 'circuit', 'components', 'inside', 'the', 'wolf', 'creek']",31,1312,1558,ML14041A484.txt,T,P
61,"['the', 'licensee', 'eventually', 'determined', 'that', 'the', 'probable', 'cause', 'of', 'the', 'failures', 'was', 'the', 'failure', 'to', 'adequately', 'chemically', 'clean', 'the', 'system', 'following', 'the', 'failure', 'of', 'charcoal', 'in', 'that', 'some', 'charcoal', 'and', 'cleaning', 'agent', 'was', 'not', 'removed', 'following', 'the', 'work']",35,2420,2682,ML14041A484.txt,T,P
71,"['the', 'licensee', 'did', 'not', 'ensure', 'accurate', 'and', 'design', 'and', 'work', 'and', 'correct', 'labeling', 'of']",39,827,977,ML14041A484.txt,P,P
149,"['in', 'accordance', 'with', 'inspection', 'procedure', 'each', 'of', 'the', 'following', 'was', 'performance', 'deficiency', 'against', 'expected', 'licensed', 'operator', 'knowledge', 'and', 'greater', 'than', 'percent', 'of', 'the', 'crews', 'failing', 'their', 'scenarios', 'and', 'greater', 'than', 'percent', 'of', 'the', 'licensed', 'operator', 'staff', 'failing', 'their', 'operating']",81,1073,1390,ML14041A484.txt,O,O
285,"['the', 'nrc', 'observed', 'that', 'the', 'licensee', 'dose', 'assessor', 'participating', 'in', 'the', 'november', 'emergency', 'preparedness', 'exercise', 'was', 'knowledgeable', 'about', 'an', 'inaccuracy', 'in', 'the', 'electronic', 'dose', 'calculation', 'program', 'and', 'subsequently', 'reviewed', 'condition', 'report', 'potential', 'incorrect', 'edcp', 'dose', 'dated', 'january']",145,890,1226,ML14041A484.txt,D,P
410,"['because', 'the', 'licensee', 'was', 'unable', 'to', 'clearly', 'identify', 'the', 'root', 'the', 'final', 'report', 'was', 'in', 'fact', 'documented', 'the', 'most', 'probable', 'cause', 'based', 'on', 'the', 'analyses']",191,621,785,ML14041A484.txt,T,P
418,"['the', 'licensee', 'did', 'not', 'ensure', 'accurate', 'and', 'design', 'and', 'work', 'and', 'correct', 'labeling', 'of']",191,2227,2377,ML14041A484.txt,T,P
424,"['the', 'train', 'class', 'air', 'conditioning', 'unit', 'had', 'to', 'be', 'removed', 'from', 'service', 'due', 'to', 'internal', 'debris', 'on', 'june', 'september', 'and', 'october', 'before', 'the', 'cause', 'was', 'identified', 'and']",191,3234,3438,ML14041A484.txt,P,O
613,"['contrary', 'to', 'the', 'on', 'november', 'the', 'inspectors', 'identified', 'that', 'the', 'licensee', 'failed', 'to', 'provide', 'adequate', 'procedural', 'guidance', 'to', 'ensure', 'fire', 'safe', 'shutdown', 'due', 'to', 'fire', 'in', 'fa']",47,2296,2487,ML16021A133.txt,O,O
1028,"['the', 'inspectors', 'determined', 'that', 'the', 'performance', 'characteristic', 'of', 'the', 'finding', 'that', 'was', 'the', 'most', 'significant', 'causal', 'factor', 'for', 'the', 'performance', 'deficiency', 'was', 'associated', 'with', 'the', 'aspect', 'of', 'consistent', 'process', 'in', 'the', 'human', 'performance', 'involving', 'individuals', 'using', 'systematic', 'approach', 'to', 'make']",25,176,520,ML15313A275.txt,H,O
