,text,line,start_pos,end_pos,file,Y,Predicted_Values,Train_Accuracy,Val_Accuracy,Test_Accuracy
43,"['inspection', 'manual', 'chapter', 'appendix', 'risk', 'assessment', 'and', 'risk', 'management', 'significance', 'determination', 'was', 'used', 'to', 'assess', 'the', 'significance', 'of', 'the', 'finding', 'because', 'the', 'finding', 'resulted', 'from', 'the', 'underestimate', 'of', 'plant']",31,2428,2686,ML14041A484.txt,T,P,0.7993217706680298,0.800000011920929,0.18823529411764706
45,"['the', 'inspectors', 'determined', 'that', 'the', 'finding', 'did', 'not', 'have', 'aspect', 'because', 'the', 'performance', 'deficiency', 'was', 'caused', 'by', 'an', 'inadequate', 'procedure', 'change', 'in', 'which', 'was', 'not', 'representative', 'of', 'current']",31,3002,3222,ML14041A484.txt,P,P,0.7993217706680298,0.800000011920929,0.18823529411764706
53,"['in', 'accordance', 'with', 'inspection', 'procedure', 'each', 'of', 'the', 'following', 'was', 'performance', 'deficiency', 'against', 'expected', 'licensed', 'operator', 'knowledge', 'and', 'greater', 'than', 'percent', 'of', 'the', 'crews', 'failing', 'their', 'and', 'greater', 'than', 'percent', 'of', 'the', 'licensed', 'operator', 'staff', 'failing', 'their', 'operating']",35,609,927,ML14041A484.txt,O,P,0.7993217706680298,0.800000011920929,0.18823529411764706
59,"['violation', 'of', 'cfr', 'appendix', 'criterion', 'was', 'identified', 'for', 'failure', 'to', 'preclude', 'repetition', 'of', 'significant', 'condition', 'adverse', 'to']",35,2038,2234,ML14041A484.txt,P,D,0.7993217706680298,0.800000011920929,0.18823529411764706
60,"['the', 'licensee', 'failed', 'to', 'determine', 'the', 'cause', 'of', 'the', 'train', 'class', 'air', 'conditioner', 'slug', 'flow', 'in', 'the', 'refrigerant', 'prior', 'to', 'experiencing', 'multiple', 'failures', 'and', 'plant']",35,2234,2420,ML14041A484.txt,O,D,0.7993217706680298,0.800000011920929,0.18823529411764706
71,"['the', 'licensee', 'did', 'not', 'ensure', 'accurate', 'and', 'design', 'and', 'work', 'and', 'correct', 'labeling', 'of']",39,827,977,ML14041A484.txt,O,D,0.7993217706680298,0.800000011920929,0.18823529411764706
143,"['of', 'crews', 'failed', 'the', 'simulator', 'scenario', 'portion', 'of', 'the', 'operating', 'and', 'of', 'licensed', 'operators', 'either', 'failed', 'the', 'scenario', 'or', 'failed', 'the', 'job', 'performance', 'measure', 'portions', 'of', 'the', 'operating']",81,402,645,ML14041A484.txt,O,P,0.7993217706680298,0.800000011920929,0.18823529411764706
149,"['in', 'accordance', 'with', 'inspection', 'procedure', 'each', 'of', 'the', 'following', 'was', 'performance', 'deficiency', 'against', 'expected', 'licensed', 'operator', 'knowledge', 'and', 'greater', 'than', 'percent', 'of', 'the', 'crews', 'failing', 'their', 'scenarios', 'and', 'greater', 'than', 'percent', 'of', 'the', 'licensed', 'operator', 'staff', 'failing', 'their', 'operating']",81,1073,1390,ML14041A484.txt,O,P,0.7993217706680298,0.800000011920929,0.18823529411764706
369,"['findings', 'failure', 'to', 'preclude', 'repetition', 'of', 'significant', 'condition', 'adverse', 'to', 'quality', 'affecting', 'the', 'train', 'class', 'air', 'conditioning', 'unit']",183,418,570,ML14041A484.txt,T,D,0.7993217706680298,0.800000011920929,0.18823529411764706
411,"['failure', 'to', 'preclude', 'repetitive', 'failures', 'of', 'the', 'train', 'class', 'air', 'significant', 'condition', 'adverse', 'to', 'is', 'performance']",191,785,938,ML14041A484.txt,T,D,0.7993217706680298,0.800000011920929,0.18823529411764706
