,end_pos,file,line,start_pos,text,Y,Predicted_Values
61,2682,ML14041A484.txt,35,2420,"['the', 'licensee', 'eventually', 'determined', 'that', 'the', 'probable', 'cause', 'of', 'the', 'failures', 'was', 'the', 'failure', 'to', 'adequately', 'chemically', 'clean', 'the', 'system', 'following', 'the', 'failure', 'of', 'charcoal', 'in', 'that', 'some', 'charcoal', 'and', 'cleaning', 'agent', 'was', 'not', 'removed', 'following', 'the', 'work']",T,P
369,570,ML14041A484.txt,183,418,"['findings', 'failure', 'to', 'preclude', 'repetition', 'of', 'significant', 'condition', 'adverse', 'to', 'quality', 'affecting', 'the', 'train', 'class', 'air', 'conditioning', 'unit']",T,O
371,1027,ML14041A484.txt,183,772,"['the', 'licensee', 'failed', 'to', 'determine', 'the', 'cause', 'of', 'the', 'train', 'class', 'air', 'conditioner', 'slug', 'flow', 'in', 'the', 'refrigerant', 'prior', 'to', 'experiencing', 'multiple', 'failures', 'and', 'plant', 'shutdowns', 'of', 'the', 'train', 'class', 'air', 'conditioner', 'slug', 'flow', 'in', 'the']",T,O
390,1461,ML14041A484.txt,187,1338,"['the', 'noed', 'specified', 'the', 'most', 'likely', 'cause', 'was', 'slug', 'flow', 'caused', 'by', 'high', 'oil', 'level', 'or', 'malfunctioning', 'thermal', 'expansion']",D,O
393,2028,ML14041A484.txt,187,1817,"['early', 'stages', 'of', 'the', 'root', 'cause', 'analysis', 'also', 'focused', 'almost', 'exclusively', 'on', 'the', 'and', 'an', 'extensive', 'hardware', 'failure', 'analysis', 'was', 'which', 'confirmed', 'the', 'slugging', 'but', 'could', 'not', 'identify', 'the']",D,P
396,2351,ML14041A484.txt,187,2218,"['the', 'licensee', 'concluded', 'that', 'compressor', 'failure', 'was', 'approaching', 'and', 'it', 'could', 'no', 'longer', 'be', 'relied', 'upon', 'to', 'meet', 'its', 'day', 'mission']",D,P
410,785,ML14041A484.txt,191,621,"['because', 'the', 'licensee', 'was', 'unable', 'to', 'clearly', 'identify', 'the', 'root', 'the', 'final', 'report', 'was', 'in', 'fact', 'documented', 'the', 'most', 'probable', 'cause', 'based', 'on', 'the', 'analyses']",T,O
418,2377,ML14041A484.txt,191,2227,"['the', 'licensee', 'did', 'not', 'ensure', 'accurate', 'and', 'design', 'and', 'work', 'and', 'correct', 'labeling', 'of']",T,O
460,2276,ML14041A484.txt,199,2121,"['specifically', 'the', 'repair', 'plan', 'did', 'not', 'address', 'what', 'was', 'eventually', 'determined', 'to', 'be', 'the', 'root', 'cause', 'and', 'did', 'not', 'preclude', 'repetition', 'of', 'the']",T,P
798,1791,ML14087A338.txt,82,1683,"['the', 'licensee', 'could', 'not', 'replace', 'the', 'bolts', 'because', 'of', 'interference', 'created', 'by', 'the', 'shock', 'pads', 'prevented']",D,O
896,2888,ML14087A338.txt,96,2604,"['the', 'licensee', 'failed', 'to', 'perform', 'subsequent', 'visual', 'inspection', 'of', 'concrete', 'cracks', 'that', 'exceeded', 'acceptable', 'criteria', 'in', 'the', 'previous', 'inspection', 'as', 'specified', 'in', 'procedure', 'and', 'detailed', 'visual', 'examinations', 'of', 'concrete', 'revision']",T,P
905,963,ML14087A338.txt,100,835,"['the', 'reactor', 'building', 'inspection', 'identified', 'two', 'cracks', 'exceeding', 'inches', 'in', 'maximum', 'width', 'near', 'the', 'ring']",O,O
929,1325,ML14087A338.txt,102,1102,"['contrary', 'to', 'the', 'prior', 'to', 'september', 'for', 'inspection', 'activities', 'affecting', 'the', 'licensee', 'failed', 'to', 'inspect', 'previously', 'identified', 'crack', 'areas', 'to', 'confirm', 'no', 'changes', 'had', 'occurred', 'as', 'required', 'by']",O,P
