,Unnamed: 0,text,line,start_pos,end_pos,file,Y,Predicted_Values
64,64,"['failure', 'to', 'preclude', 'repetitive', 'failures', 'of', 'the', 'train', 'class', 'air', 'significant', 'condition', 'adverse', 'to', 'is', 'performance']",35,2857,3010,ML14041A484.txt,O,O
176,176,"['the', 'inspectors', 'identified', 'green', 'violation', 'of', 'cfr', 'for', 'the', 'failure', 'to', 'assess', 'risk', 'associated', 'with', 'an', 'emergent', 'maintenance', 'activity', 'performed', 'on', 'one', 'of', 'the', 'offsite', 'power', 'circuit', 'components', 'inside', 'the', 'wolf', 'creek']",99,573,819,ML14041A484.txt,O,O
195,195,"['this', 'condition', 'was', 'later', 'able', 'to', 'be', 'analyzed', 'as', 'acceptable', 'without', 'performing', 'field', 'work', 'on', 'the', 'offsite']",103,1896,2008,ML14041A484.txt,T,O
408,408,"['the', 'root', 'cause', 'analysis', 'also', 'determined', 'that', 'the', 'work', 'performed', 'under', 'work', 'order', 'was', 'not', 'in', 'accordance', 'with', 'station', 'procedural']",191,214,369,ML14041A484.txt,T,O
460,460,"['specifically', 'the', 'repair', 'plan', 'did', 'not', 'address', 'what', 'was', 'eventually', 'determined', 'to', 'be', 'the', 'root', 'cause', 'and', 'did', 'not', 'preclude', 'repetition', 'of', 'the']",199,2121,2276,ML14041A484.txt,O,O
659,48,"['the', 'team', 'determined', 'that', 'this', 'finding', 'had', 'human', 'performance', 'cross', 'cutting', 'aspect', 'in', 'the', 'area', 'of', 'work']",40,2883,2997,ML14087A338.txt,O,O
1221,610,"['this', 'misunderstanding', 'was', 'called', 'to', 'the', 'attention', 'of', 'site', 'and', 'may', 'require', 'additional', 'clarification', 'for', 'staff', 'on', 'roles', 'and', 'responsibilities', 'for', 'executing', 'the', 'program']",142,1842,2031,ML14087A338.txt,T,O
1759,87,"['the', 'performance', 'deficiency', 'affected', 'the', 'and', 'capability', 'of', 'the', 'unit', 'tdafw', 'pump', 'to', 'provide', 'secondary', 'decay', 'heat']",99,1852,2013,ML12027A131.txt,O,O
2622,166,"['neither', 'of', 'these', 'procedures', 'discussed', 'when', 'and', 'who', 'should', 'evaluate', 'and', 'implement', 'interim', 'or', 'compensatory', 'corrective', 'actions', 'and', 'hence', 'they', 'may', 'not', 'be']",67,0,165,ML11244A041.txt,O,O
4356,1544,"['severity', 'level', 'iv', 'violation', 'of', 'cfr', 'and', 'cfr', 'was', 'identified', 'for', 'failure', 'to', 'submit', 'relief', 'in', 'timely', 'for', 'incomplete', 'inspections', 'during', 'isi', 'interval', 'for', 'unit', 'and', 'for', 'failing', 'to', 'provide', 'sufficient', 'information', 'to', 'demonstrate', 'impracticality', 'of']",87,465,787,ML072260460.txt,T,O
4368,1556,"['pseg', 'conducted', 'an', 'isi', 'program', 'self', 'assessment', 'in', 'march', 'and', 'did', 'not', 'identify', 'that', 'the', 'relief', 'request', 'had', 'been', 'submitted', 'after', 'the', 'required', 'date', 'of', 'november', 'months', 'after', 'november']",87,2043,2262,ML072260460.txt,T,O
4384,1572,"['cfr', 'states', 'an', 'examination', 'requirement', 'by', 'the', 'code', 'or', 'addenda', 'is', 'determined', 'to', 'be', 'impractical', 'by', 'the', 'licensee', 'and', 'is', 'not', 'included', 'in', 'the', 'revised', 'isi', 'program', 'as', 'permitted', 'by', 'paragraph', 'of', 'this', 'the', 'basis', 'for', 'this', 'determination', 'must', 'be', 'demonstrated', 'to', 'the', 'satisfaction', 'of', 'the', 'commission', 'not', 'later', 'than', 'months', 'after', 'the', 'expiration', 'of', 'the', 'initial', 'period', 'of', 'operation', 'from', 'the', 'start', 'of', 'facility', 'commercial', 'operation', 'and', 'each', 'subsequent', 'period', 'of', 'operation', 'during', 'which', 'the', 'examination', 'is', 'determined', 'to', 'be']",91,1218,1794,ML072260460.txt,O,O
4784,1972,"['pseg', 'did', 'not', 'locate', 'the', 'vendor', 'documents', 'for', 'the', 'dmv', 'sight', 'glass', 'onsite', 'following', 'the', 'and', 'pseg', 'had', 'not', 'incorporated', 'this', 'guidance', 'into', 'the', 'plant', 'maintenance']",153,629,803,ML072260460.txt,T,O
5406,90,"['during', 'walkdown', 'on', 'july', 'in', 'the', 'unit', 'turbine', 'building', 'the', 'inspectors', 'identified', 'vertically', 'stored', 'wood', 'pallet', 'in', 'narrow', 'passageway', 'that', 'did', 'not', 'have', 'transient', 'combustible']",35,1643,1864,ML11300A116.txt,O,O
6041,234,"['this', 'performance', 'deficiency', 'was', 'more', 'than', 'minor', 'because', 'it', 'was', 'associated', 'with', 'the', 'protection', 'against', 'external', 'factors', 'attribute', 'of', 'the', 'mitigating', 'systems', 'cornerstone', 'and', 'affected', 'the', 'cornerstone', 'objective', 'of', 'ensuring', 'the', 'and', 'capability', 'of', 'systems', 'that', 'respond', 'to', 'initiating', 'events', 'to', 'prevent', 'undesirable']",80,2110,2462,ML13182A476.txt,O,O
