,end_pos,file,line,start_pos,text,Y,Predicted_Values
71,977,ML14041A484.txt,39,827,"['the', 'licensee', 'did', 'not', 'ensure', 'accurate', 'and', 'design', 'and', 'work', 'and', 'correct', 'labeling', 'of']",O,O
914,2304,ML14087A338.txt,100,2067,"['the', 'team', 'determined', 'that', 'the', 'licensee', 'did', 'not', 'follow', 'the', 'requirements', 'in', 'procedure', 'to', 'evaluate', 'these', 'cracks', 'during', 'subsequent', 'inspection', 'in', 'order', 'to', 'characterize', 'any', 'changes', 'or', 'determine', 'the', 'cracks', 'had', 'not']",O,O
1762,2497,ML12027A131.txt,99,2423,"['procedural', 'place', 'keeping', 'techniques', 'were', 'less', 'than']",P,O
1943,2918,ML12027A131.txt,162,2757,"['contrary', 'to', 'the', 'on', 'october', 'operations', 'personnel', 'failed', 'to', 'follow', 'written', 'procedure', 'tdafw', 'pump', 'response', 'time', 'and', 'check', 'valve']",T,O
2001,545,ML12027A131.txt,174,297,"['the', 'licensee', 'failed', 'to', 'ensure', 'during', 'postfire', 'safe', 'shutdown', 'involving', 'large', 'fire', 'in', 'the', 'main', 'control', 'room', 'unit', 'and', 'unit', 'rcs', 'process', 'variables', 'would', 'be', 'maintained', 'within', 'those', 'predicted', 'for', 'loss', 'of', 'normal', 'ac']",O,O
2546,322,ML11244A041.txt,45,218,"['the', 'inspection', 'also', 'revealed', 'weakness', 'in', 'identifying', 'trends', 'in', 'human', 'performance', 'and', 'equipment']",O,O
2586,3003,ML11244A041.txt,53,2867,"['the', 'operability', 'section', 'did', 'not', 'address', 'the', 'door', 'being', 'held', 'which', 'impacted', 'the', 'operability', 'of', 'the', 'door', 'as', 'helb', 'and', 'fire']",P,O
2597,429,ML11244A041.txt,61,319,"['the', 'condition', 'was', 'the', 'existence', 'of', 'the', 'ground', 'and', 'was', 'not', 'addressed', 'in', 'the', 'operability']",P,O
2600,709,ML11244A041.txt,61,588,"['the', 'operability', 'section', 'did', 'not', 'address', 'the', 'operability', 'of', 'the', 'afw', 'pumps', 'due', 'to', 'internal', 'flooding', 'from', 'the', 'clogged']",P,O
2699,2123,ML11244A041.txt,73,1927,"['the', 'inspectors', 'noted', 'that', 'one', 'of', 'the', 'weaknesses', 'identified', 'in', 'the', 'above', 'assessments', 'was', 'communications', 'around', 'processes', 'and', 'more', 'effectively', 'sharing', 'information', 'with', 'the']",O,O
3156,415,ML13182A476.txt,44,162,"['by', 'failing', 'to', 'establish', 'preventive', 'maintenance', 'strategy', 'for', 'fire', 'safe', 'shutdown', 'exelon', 'did', 'not', 'ensure', 'that', 'the', 'local', 'control', 'circuits', 'for', 'several', 'breakers', 'would', 'be', 'isolated', 'from', 'the', 'effects', 'of', 'fire']",O,O
3318,1241,ML13182A476.txt,80,1103,"['by', 'not', 'testing', 'these', 'there', 'are', 'failure', 'mechanisms', 'that', 'are', 'not', 'such', 'as', 'deck', 'of', 'contacts', 'failing', 'to', 'rotate']",T,O
4012,956,ML071350662.txt,161,790,"['the', 'inspectors', 'identified', 'that', 'the', 'licensee', 'had', 'inappropriately', 'located', 'the', 'train', 'ultimate', 'heat', 'sink', 'sump', 'pumps', 'near', 'qualified']",O,O
4014,1215,ML071350662.txt,161,1070,"['the', 'failure', 'to', 'locate', 'the', 'pump', 'in', 'location', 'free', 'from', 'potentially', 'seismic', 'induced', 'damage', 'was', 'inconsistent', 'with', 'the', 'final', 'safety', 'analysis']",O,O
