,end_pos,file,line,start_pos,text,Y,Predicted_Values
38,1832,ML14041A484.txt,31,1558,"['wolf', 'creek', 'arranged', 'for', 'the', 'transmission', 'system', 'maintenance', 'companies', 'to', 'recharge', 'gas', 'in', 'breaker', 'actively', 'feeding', 'the', 'train', 'class', 'distribution', 'without', 'performing', 'risk', 'management', 'actions', 'to', 'verify', 'the', 'readiness', 'of', 'onsite', 'power']",T,P
41,2241,ML14041A484.txt,31,1993,"['the', 'inspectors', 'determined', 'that', 'failure', 'to', 'assess', 'risk', 'associated', 'with', 'an', 'emergent', 'maintenance', 'activity', 'in', 'accordance', 'with', 'station', 'procedure', 'ap', 'nuclear', 'safety', 'and', 'generation', 'risk', 'step', 'was', 'performance']",P,T
43,2686,ML14041A484.txt,31,2428,"['inspection', 'manual', 'chapter', 'appendix', 'risk', 'assessment', 'and', 'risk', 'management', 'significance', 'determination', 'was', 'used', 'to', 'assess', 'the', 'significance', 'of', 'the', 'finding', 'because', 'the', 'finding', 'resulted', 'from', 'the', 'underestimate', 'of', 'plant']",T,P
194,1896,ML14041A484.txt,103,1539,"['realizing', 'potential', 'the', 'inspectors', 'brought', 'the', 'oversight', 'to', 'the', 'attention', 'of', 'licensee', 'who', 'immediately', 'directed', 'an', 'assessment', 'of', 'risk', 'and', 'wrote', 'condition', 'report', 'to', 'ensure', 'capture', 'of', 'emergent', 'switchyard', 'degraded', 'conditions', 'into', 'their', 'online', 'risk', 'assessment', 'program', 'as', 'required', 'by', 'cfr', 'and', 'station', 'procedure', 'ap']",O,P
294,2744,ML14041A484.txt,145,2563,"['the', 'licensee', 'determined', 'this', 'deficiency', 'existed', 'in', 'edcp', 'version', 'which', 'was', 'in', 'use', 'on', 'november', 'and', 'continued', 'to', 'exist', 'in', 'edcp', 'version', 'implemented', 'october']",D,P
653,1659,ML14087A338.txt,40,1375,"['the', 'licensee', 'failed', 'to', 'perform', 'subsequent', 'visual', 'inspection', 'of', 'concrete', 'cracks', 'that', 'exceeded', 'acceptable', 'criteria', 'in', 'the', 'previous', 'inspection', 'as', 'specified', 'in', 'procedure', 'and', 'detailed', 'visual', 'examinations', 'of', 'concrete', 'revision']",P,T
655,2072,ML14087A338.txt,40,1916,"['the', 'team', 'determined', 'that', 'the', 'failure', 'to', 'assess', 'previous', 'indications', 'of', 'concrete', 'as', 'specified', 'in', 'plant', 'was', 'performance']",T,P
801,2485,ML14087A338.txt,82,2258,"['the', 'team', 'determined', 'that', 'the', 'licensee', 'had', 'not', 'met', 'commitment', 'to', 'develop', 'reactor', 'vessel', 'internals', 'program', 'aging', 'management', 'program', 'as', 'described', 'in', 'letter', 'to', 'attachment', 'arkansas', 'nuclear', 'unit']",P,P
932,2162,ML14087A338.txt,102,1857,"['because', 'this', 'finding', 'was', 'of', 'very', 'low', 'safety', 'significance', 'and', 'had', 'been', 'entered', 'into', 'the', 'corrective', 'action', 'this', 'violation', 'is', 'being', 'treated', 'as', 'violation', 'in', 'accordance', 'with', 'section', 'of', 'the', 'nrc', 'enforcement', 'ncv', 'to', 'reassess', 'the', 'effects', 'of']",O,P
945,1603,ML14087A338.txt,104,1333,"['the', 'team', 'determined', 'that', 'the', 'licensee', 'had', 'not', 'completed', 'their', 'commitment', 'to', 'perform', 'inspection', 'of', 'single', 'reactor', 'coolant', 'pump', 'casing', 'and', 'the', 'licensee', 'had', 'not', 'inspected', 'the', 'pump', 'cover', 'because', 'of', 'the', 'potential', 'for', 'high', 'radiation']",O,O
960,481,ML14087A338.txt,106,256,"['as', 'described', 'in', 'letter', 'to', 'attachment', 'arkansas', 'nuclear', 'unit', 'the', 'team', 'determined', 'that', 'the', 'licensee', 'had', 'not', 'met', 'commitment', 'since', 'the', 'licensee', 'had', 'not', 'inspected', 'the', 'reactor', 'coolant', 'pump']",O,P
1229,3269,ML14087A338.txt,142,2960,"['although', 'personnel', 'review', 'the', 'results', 'from', 'previous', 'year', 'inspection', 'the', 'team', 'determined', 'the', 'present', 'methods', 'for', 'tracking', 'deficiencies', 'could', 'limit', 'effectiveness', 'and', 'ability', 'of', 'engineering', 'personnel', 'to', 'readily', 'retrieve', 'all', 'available', 'history', 'and', 'trends', 'and', 'to', 'monitor', 'issues', 'identified', 'by', 'other']",P,T
1754,1383,ML12027A131.txt,99,1220,"['as', 'the', 'tdafw', 'pump', 'operated', 'with', 'no', 'suction', 'source', 'for', 'period', 'of', 'minute', 'seconds', 'and', 'was', 'rendered', 'inoperable', 'for', 'period', 'of', 'approximately']",T,P
1941,2403,ML12027A131.txt,162,2329,"['procedural', 'place', 'keeping', 'techniques', 'were', 'less', 'than']",P,P
2312,2224,ML13298A103.txt,58,1929,"['these', 'issues', 'the', 'use', 'of', 'helium', 'as', 'the', 'purging', 'the', 'rki', 'eagle', 'monitor', 'used', 'at', 'nmp', 'had', 'not', 'been', 'calibrated', 'for', 'its', 'intended', 'use', 'or', 'properly', 'and', 'the', 'sample', 'line', 'from', 'cask', 'to', 'the', 'instrument', 'was', 'to', 'feet', 'long', 'with', 'several', 'low', 'spots', 'where', 'water', 'was', 'found', 'to', 'be', 'in', 'the']",D,O
2348,498,ML13298A103.txt,66,118,"['the', 'corrective', 'actions', 'that', 'resulted', 'from', 'the', 'review', 'of', 'the', 'tn', 'bulletin', 'as', 'documented', 'in', 'the', 'condition', 'report', 'included', 'the', 'revision', 'to', 'comanche', 'peak', 'procedure', 'to', 'require', 'the', 'dcs', 'project', 'manager', 'to', 'verify', 'that', 'there', 'had', 'been', 'no', 'change', 'to', 'either', 'the', 'welding', 'equipment', 'or', 'hydrogen', 'gas', 'monitors', 'or', 'their', 'setups', 'prior', 'to', 'each', 'new', 'loading']",P,P
2495,1403,ML11244A041.txt,29,1292,"['the', 'inspection', 'did', 'identify', 'weaknesses', 'in', 'the', 'plant', 'programs', 'for', 'trending', 'and', 'repetitious']",O,O
2497,1736,ML11244A041.txt,29,1607,"['additional', 'deficiencies', 'were', 'identified', 'with', 'the', 'conduct', 'and', 'quality', 'of', 'operability', 'determinations', 'and', 'reportability']",O,O
2498,2021,ML11244A041.txt,29,1736,"['similar', 'issues', 'had', 'been', 'previously', 'identified', 'by', 'nrc', 'resident', 'staff', 'and', 'nos', 'and', 'represented', 'weakness', 'of', 'the', 'cap', 'to', 'improve', 'this', 'area', 'and', 'cap', 'oversight', 'such', 'as', 'the', 'issue', 'screening', 'team', 'and', 'the', 'management', 'review', 'committee', 'to', 'monitor', 'and', 'enforce', 'adequate']",O,O
2643,2856,ML11244A041.txt,67,2713,"['for', 'licensee', 'individual', 'initiated', 'ar', 'when', 'the', 'small', 'article', 'monitor', 'was', 'found', 'due', 'to', 'high']",O,P
2645,3147,ML11244A041.txt,67,2979,"['the', 'smears', 'were', 'there', 'because', 'they', 'had', 'been', 'used', 'in', 'the', 'isolo', 'which', 'was', 'considered', 'by', 'the', 'individual', 'inappropriate', 'for', 'this', 'high', 'level', 'of']",O,O
2650,507,ML11244A041.txt,69,279,"['the', 'inspectors', 'found', 'that', 'additional', 'actions', 'were', 'completed', 'but', 'not', 'documented', 'in', 'the', 'including', 'discussions', 'with', 'rp', 'personnel', 'on', 'use', 'of', 'the', 'isolo', 'and', 'putting', 'new', 'equipment', 'in', 'service', 'to', 'use', 'for', 'the', 'high', 'contamination']",O,P
2770,911,ML11244A041.txt,145,0,"['procedure', 'inadequacy', 'led', 'to', 'being', 'left', 'in', 'stop', 'was', 'found', 'with', 'debris', 'preventing', 'an', 'alarm', 'unexpected', 'common', 'process', 'radiation', 'monitor', 'high', 'needs', 'repair', 'taken', 'from', 'the', 'store', 'room', 'needs', 'pra', 'diesel', 'air', 'compressor', 'status', 'blowdown', 'sample', 'filter', 'plugged', 'high', 'alarm', 'setpoint', 'change', 'required', 'low', 'flow', 'due', 'to', 'blockage', 'drum', 'area', 'vent', 'lr', 'gas', 'rad', 'drum', 'area', 'exh', 'low', 'range', 'gas', 'channel', 'alert', 'car', 'sw', 'butterfly', 'valve', 'replacements', 'caps', 'closed', 'to', 'work', 'orders', 'review', 'initial', 'classification', 'of', 'rcs', 'leak', 'at', 'ce', 'assignment', 'ccw', 'pump', 'oil', 'bubbler', 'low', 'hoist', 'separation', 'from', 'lift', 'beam', 'during', 'sw', 'pump', 'maintenance', 'work', 'management', 'root', 'cause', 'evaluation', 'potential', 'ncv', 'on', 'failure', 'to', 'submit', 'ler', 'on', 'helb', 'issues', 'potential', 'with', 'np']",O,P
2773,589,ML11244A041.txt,147,0,"['operating', 'experience', 'number', 'description', 'or', 'title', 'diesel', 'generator', 'frequency', 'not', 'considered', 'in', 'calculation', 'emergency', 'diesel', 'generator', 'failed', 'to', 'close', 'in', 'loss', 'of', 'motor', 'control', 'in', 'importance', 'of', 'understanding', 'circuit', 'breaker', 'control', 'panel', 'indications', 'and', 'number', 'description', 'or', 'title', 'ar', 'maintenance', 'work', 'order', 'walkdown', 'quality', 'quick', 'hit', 'assessment', 'ar', 'maintenance', 'work', 'order', 'walkdown', 'quality', 'quick', 'hit', 'assessment', 'follow', 'up', 'pbn', 'point', 'beach', 'nuclear', 'oversight', 'report', 'operations']",O,T
3151,2693,ML13182A476.txt,42,2462,"['the', 'nrc', 'identified', 'green', 'finding', 'for', 'the', 'failure', 'to', 'establish', 'preventive', 'maintenance', 'strategy', 'for', 'fire', 'safe', 'shutdown', 'switches', 'in', 'accordance', 'with', 'the', 'exelon', 'procedure', 'preventive', 'maintenance']",O,T
3235,2740,ML13182A476.txt,56,2515,"['the', 'team', 'determined', 'that', 'the', 'spray', 'pond', 'pump', 'house', 'would', 'be', 'challenging', 'location', 'for', 'fire', 'based', 'on', 'the', 'need', 'for', 'security', 'the', 'distance', 'to', 'the', 'spray', 'pond', 'pump', 'and', 'the', 'elevation', 'to', 'the', 'spray', 'pond', 'pump']",D,P
3312,137,ML13182A476.txt,80,25,"['the', 'inspectors', 'also', 'verified', 'that', 'this', 'switch', 'was', 'not', 'operated', 'or', 'tested', 'as', 'part', 'of', 'routine', 'breaker']",T,P
