,text,line,start_pos,end_pos,file,Y,Predicted_Values
21,"['yes', 'no', 'adams', 'yes', 'no', 'reviewer', 'initials', 'nfo', 'publicly']",21,28,87,ML14041A484.txt,U,U
24,"['nuclear', 'regulatory', 'commission', 'region', 'iv', 'wolf', 'creek', 'nuclear', 'operating', 'corporation', 'wolf', 'creek', 'generating', 'station', 'oxen', 'lane', 'se', 'kansas', 'september', 'through', 'december']",23,0,287,ML14041A484.txt,U,U
29,"['the', 'inspection', 'activities', 'described', 'in', 'this', 'report', 'were', 'performed', 'between', 'september', 'and', 'december', 'by', 'the', 'resident', 'inspectors', 'at', 'wolf', 'creek', 'generating', 'station', 'and', 'three', 'inspectors', 'from', 'the', 'region', 'iv']",31,264,494,ML14041A484.txt,U,U
37,"['the', 'inspectors', 'identified', 'green', 'violation', 'of', 'cfr', 'for', 'the', 'failure', 'to', 'assess', 'risk', 'associated', 'with', 'an', 'emergent', 'maintenance', 'activity', 'performed', 'on', 'one', 'of', 'the', 'offsite', 'power', 'circuit', 'components', 'inside', 'the', 'wolf', 'creek']",31,1312,1558,ML14041A484.txt,U,U
39,"['loss', 'of', 'pressure', 'would', 'have', 'caused', 'this', 'breaker', 'to', 'automatically']",31,1832,1906,ML14041A484.txt,U,U
43,"['inspection', 'manual', 'chapter', 'appendix', 'risk', 'assessment', 'and', 'risk', 'management', 'significance', 'determination', 'was', 'used', 'to', 'assess', 'the', 'significance', 'of', 'the', 'finding', 'because', 'the', 'finding', 'resulted', 'from', 'the', 'underestimate', 'of', 'plant']",31,2428,2686,ML14041A484.txt,U,N
46,[],31,3222,3236,ML14041A484.txt,U,U
51,"['the', 'licensee', 'remediated', 'and', 'retested', 'the', 'staff', 'prior', 'to', 'returning', 'them', 'to', 'licensed']",35,424,514,ML14041A484.txt,U,U
52,"['wolf', 'creek', 'entered', 'this', 'finding', 'into', 'their', 'corrective', 'action', 'program', 'as', 'condition', 'report']",35,514,609,ML14041A484.txt,U,U
54,"['using', 'the', 'inspection', 'manual', 'chapter', 'appendix', 'the', 'inspector', 'determined', 'that', 'the', 'finding', 'was', 'more', 'than', 'minor', 'because', 'the', 'performance', 'deficiency', 'was', 'associated', 'with', 'the', 'mitigating', 'systems', 'cornerstone', 'attribute', 'of', 'human', 'and', 'affected', 'the', 'cornerstone', 'objective', 'of', 'ensuring', 'the', 'and', 'capability', 'of', 'systems', 'that', 'respond', 'to', 'initiating', 'events', 'to', 'prevent', 'undesirable']",35,927,1362,ML14041A484.txt,U,N
