,Unnamed: 0,text,line,start_pos,end_pos,file,class,Y,Predicted_Values
3,3,"['october', 'rafael', 'senior', 'vice', 'president', 'and', 'chief', 'nuclear', 'officer', 'regulatory', 'affairs', 'luminant', 'generation', 'company', 'llc', 'comanche', 'peak', 'nuclear', 'power', 'plant']",5.0,0.0,179.0,ML13298A103.txt,0.0,U,U
8,8,"['following', 'the', 'site', 'telephonic', 'exit', 'was', 'conducted', 'on', 'october', 'after', 'the', 'completion', 'of', 'hydrogen', 'monitoring', 'test', 'which', 'was', 'completed', 'that', 'demonstrated', 'the', 'combustible', 'gas', 'monitoring', 'equipment', 'was', 'functioning', 'as']",7.0,450.0,685.0,ML13298A103.txt,0.0,U,N
19,19,"['should', 'you', 'have', 'any', 'questions', 'concerning', 'this', 'please', 'contact', 'the', 'undersigned', 'at', 'or', 'lee', 'brookhart', 'at']",13.0,127.0,269.0,ML13298A103.txt,0.0,U,U
30,30,"['distribution', 'see', 'next', 'page']",21.0,0.0,35.0,ML13298A103.txt,0.0,U,U
31,31,"['peak', 'cp', 'yes', 'no', 'leb', 'sunsi', 'rev']",23.0,0.0,165.0,ML13298A103.txt,0.0,U,U
32,32,"['yes', 'no', 'adams', 'reviewer', 'initials', 'yes', 'no', 'publicly', 'available', 'sensitive', 'yes', 'no']",23.0,165.0,253.0,ML13298A103.txt,0.0,U,U
34,34,"['letter', 'to', 'rafael', 'flores', 'from', 'blair', 'dated', 'october']",25.0,0.0,73.0,ML13298A103.txt,0.0,U,U
38,38,"['accompanying', 'luminant', 'generation', 'company', 'llc', 'comanche', 'peak', 'nuclear', 'power', 'units', 'and', 'independent', 'spent', 'fuel', 'storage', 'installation']",29.0,76.0,389.0,ML13298A103.txt,0.0,U,U
41,41,['enclosure'],33.0,0.0,9.0,ML13298A103.txt,0.0,U,U
44,44,"['the', 'significance', 'of', 'any', 'part', 'findings', 'are', 'indicated', 'by', 'their', 'color', 'or', 'using', 'inspection', 'manual', 'chapter', 'determination']",35.0,401.0,583.0,ML13298A103.txt,1.0,U,U
46,46,"['findings', 'for', 'which', 'the', 'significance', 'determination', 'process', 'does', 'not', 'apply', 'may', 'be', 'green', 'or', 'be', 'assigned', 'severity', 'level', 'after', 'the', 'nrc', 'management']",35.0,681.0,831.0,ML13298A103.txt,0.0,U,N
59,59,"['tour', 'of', 'the', 'isfsi', 'pad', 'and', 'adjacent', 'area', 'found', 'the', 'loaded', 'storage', 'casks', 'to', 'be', 'in', 'good', 'physical']",39.0,1111.0,1217.0,ML13298A103.txt,0.0,U,U
62,62,"['other', 'activities']",39.0,1400.0,1416.0,ML13298A103.txt,0.0,U,U
63,63,"['other', 'activities']",41.0,0.0,27.0,ML13298A103.txt,0.0,U,U
65,65,"['since', 'the', 'last', 'inspection', 'in', 'june', 'luminant', 'company', 'of', 'had', 'issued', 'several', 'vendor', 'surveillance', 'quality', 'control', 'audit', 'of', 'concrete', 'pour', 'and', 'reactor', 'engineering']",41.0,355.0,581.0,ML13298A103.txt,0.0,U,U
74,74,[],43.0,0.0,3.0,ML13298A103.txt,0.0,U,U
77,77,"['for', 'the', 'inspection', 'of', 'the', 'radiation', 'protection', 'technician', 'accompanied', 'the', 'nrc', 'inspectors', 'into', 'the', 'protected', 'area', 'to', 'perform', 'walkdown', 'of', 'the', 'isfsi']",45.0,377.0,548.0,ML13298A103.txt,0.0,U,U
79,79,"['neutron', 'monitoring', 'equipment', 'was', 'not', 'provided', 'at', 'the', 'time', 'of', 'the', 'isfsi', 'pad']",45.0,674.0,758.0,ML13298A103.txt,0.0,U,U
91,91,"['the', 'highest', 'readings', 'on', 'the', 'isfsi', 'pad', 'were', 'measured', 'at', 'the', 'lower', 'cask', 'vent', 'which', 'read', 'as', 'high', 'as']",45.0,1973.0,2092.0,ML13298A103.txt,0.0,U,N
96,96,"['during', 'the', 'osls', 'were', 'replaced', 'by', 'thermoluminescent', 'dosimeters', 'that', 'performed', 'the', 'same', 'dose', 'measurement']",45.0,2659.0,2783.0,ML13298A103.txt,0.0,U,U
