,text,line,start_pos,end_pos,file,Y,Predicted_Values
37,"['the', 'inspectors', 'identified', 'green', 'violation', 'of', 'cfr', 'for', 'the', 'failure', 'to', 'assess', 'risk', 'associated', 'with', 'an', 'emergent', 'maintenance', 'activity', 'performed', 'on', 'one', 'of', 'the', 'offsite', 'power', 'circuit', 'components', 'inside', 'the', 'wolf', 'creek']",31,1312,1558,ML14041A484.txt,T,T
38,"['wolf', 'creek', 'arranged', 'for', 'the', 'transmission', 'system', 'maintenance', 'companies', 'to', 'recharge', 'gas', 'in', 'breaker', 'actively', 'feeding', 'the', 'train', 'class', 'distribution', 'without', 'performing', 'risk', 'management', 'actions', 'to', 'verify', 'the', 'readiness', 'of', 'onsite', 'power']",31,1558,1832,ML14041A484.txt,T,T
45,"['the', 'inspectors', 'determined', 'that', 'the', 'finding', 'did', 'not', 'have', 'aspect', 'because', 'the', 'performance', 'deficiency', 'was', 'caused', 'by', 'an', 'inadequate', 'procedure', 'change', 'in', 'which', 'was', 'not', 'representative', 'of', 'current']",31,3002,3222,ML14041A484.txt,P,P
50,"['of', 'crews', 'failed', 'the', 'simulator', 'scenario', 'portion', 'of', 'the', 'operating', 'and', 'of', 'licensed', 'operators', 'either', 'failed', 'the', 'scenario', 'or', 'failed', 'the', 'job', 'performance', 'measure', 'portions', 'of', 'the', 'operating']",35,181,424,ML14041A484.txt,O,O
143,"['of', 'crews', 'failed', 'the', 'simulator', 'scenario', 'portion', 'of', 'the', 'operating', 'and', 'of', 'licensed', 'operators', 'either', 'failed', 'the', 'scenario', 'or', 'failed', 'the', 'job', 'performance', 'measure', 'portions', 'of', 'the', 'operating']",81,402,645,ML14041A484.txt,O,O
147,"['the', 'licensee', 'remediated', 'and', 'retested', 'the', 'staff', 'prior', 'to', 'returning', 'them', 'to', 'licensed']",81,974,1064,ML14041A484.txt,O,O
199,"['according', 'to', 'inspection', 'manual', 'chapter', 'appendix', 'risk', 'assessment', 'and', 'risk', 'management', 'significance', 'determination', 'greater', 'than', 'minor', 'inspection', 'finding', 'that', 'results', 'from', 'the', 'underestimate', 'of', 'plant', 'risk', 'should', 'be', 'evaluated', 'using', 'the', 'methods', 'in', 'appendix', 'appendix', 'step', 'evaluation', 'of', 'states', 'that', 'the', 'regional', 'senior', 'reactor', 'analyst', 'may', 'independently', 'evaluate', 'the', 'risk', 'if', 'there', 'are', 'specific', 'concerns', 'regarding', 'the', 'adequacy', 'of', 'the', 'assessment', 'such', 'as', 'the', 'quantitative', 'risk', 'assessment', 'contained']",103,2441,3016,ML14041A484.txt,T,P
214,"['contrary', 'to', 'the', 'on', 'november', 'the', 'licensee', 'failed', 'to', 'assess', 'and', 'manage', 'the', 'increase', 'in', 'risk', 'that', 'may', 'result', 'from', 'the', 'proposed', 'maintenance']",107,1622,1786,ML14041A484.txt,T,P
401,"['in', 'this', 'instance', 'pressure', 'switch', 'had', 'failed', 'due', 'to', 'the', 'same', 'process', 'fluid', 'fouling', 'different', 'portion', 'of', 'the', 'so', 'even', 'though', 'the', 'symptoms', 'were', 'different', 'in', 'this', 'the', 'root', 'cause', 'of', 'the', 'failure', 'was', 'the']",187,2721,2940,ML14041A484.txt,D,T
411,"['failure', 'to', 'preclude', 'repetitive', 'failures', 'of', 'the', 'train', 'class', 'air', 'significant', 'condition', 'adverse', 'to', 'is', 'performance']",191,785,938,ML14041A484.txt,T,T
