,text,line,start_pos,end_pos,file,Y,Predicted_Values,Train_Accuracy,Val_Accuracy,Test_Accuracy
50,"['of', 'crews', 'failed', 'the', 'simulator', 'scenario', 'portion', 'of', 'the', 'operating', 'and', 'of', 'licensed', 'operators', 'either', 'failed', 'the', 'scenario', 'or', 'failed', 'the', 'job', 'performance', 'measure', 'portions', 'of', 'the', 'operating']",35,181,424,ML14041A484.txt,O,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
57,"['this', 'finding', 'has', 'crosscutting', 'aspect', 'in', 'the', 'area', 'of', 'human', 'performance', 'associated', 'with', 'because', 'the', 'licensee', 'failed', 'to', 'ensure', 'that', 'personnel', 'were', 'adequately', 'trained', 'to', 'assure', 'nuclear', 'safety']",35,1803,2013,ML14041A484.txt,O,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
59,"['violation', 'of', 'cfr', 'appendix', 'criterion', 'was', 'identified', 'for', 'failure', 'to', 'preclude', 'repetition', 'of', 'significant', 'condition', 'adverse', 'to']",35,2038,2234,ML14041A484.txt,T,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
61,"['the', 'licensee', 'eventually', 'determined', 'that', 'the', 'probable', 'cause', 'of', 'the', 'failures', 'was', 'the', 'failure', 'to', 'adequately', 'chemically', 'clean', 'the', 'system', 'following', 'the', 'failure', 'of', 'charcoal', 'in', 'that', 'some', 'charcoal', 'and', 'cleaning', 'agent', 'was', 'not', 'removed', 'following', 'the', 'work']",35,2420,2682,ML14041A484.txt,T,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
147,"['the', 'licensee', 'remediated', 'and', 'retested', 'the', 'staff', 'prior', 'to', 'returning', 'them', 'to', 'licensed']",81,974,1064,ML14041A484.txt,O,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
154,"['this', 'finding', 'was', 'of', 'very', 'low', 'safety', 'significance', 'because', 'the', 'finding', 'was', 'related', 'to', 'the', 'requalification', 'exam', 'did', 'not', 'result', 'in', 'failure', 'rate', 'of', 'greater', 'than', 'and', 'the', 'licensed', 'operators', 'were', 'remediated', 'prior', 'to', 'returning', 'to']",85,132,390,ML14041A484.txt,O,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
155,"['this', 'finding', 'has', 'aspect', 'in', 'the', 'area', 'of', 'human', 'performance', 'associated', 'with', 'because', 'the', 'licensee', 'failed', 'to', 'ensure', 'that', 'personnel', 'were', 'adequately', 'trained', 'to', 'assure', 'nuclear', 'safety']",85,390,601,ML14041A484.txt,O,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
186,"['operators', 'assumed', 'that', 'this', 'meant', 'that', 'the', 'task', 'had', 'been', 'to', 'be', 'low', 'so', 'no', 'risk', 'assessment', 'was']",103,152,275,ML14041A484.txt,P,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
293,"['the', 'licensee', 'confirmed', 'on', 'november', 'that', 'edcp', 'was', 'not', 'correctly', 'applying', 'the', 'default', 'noble', 'gas', 'to', 'iodine', 'resulting', 'in', 'an', 'overestimate', 'of', 'the', 'concentration', 'of', 'iodine', 'and', 'particulates', 'by', 'factor', 'of', 'and', 'an', 'overestimate', 'of', 'the', 'thyroid', 'cde']",145,2303,2563,ML14041A484.txt,D,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
369,"['findings', 'failure', 'to', 'preclude', 'repetition', 'of', 'significant', 'condition', 'adverse', 'to', 'quality', 'affecting', 'the', 'train', 'class', 'air', 'conditioning', 'unit']",183,418,570,ML14041A484.txt,T,P,0.7486340403556824,0.6190476417541504,0.26785714285714285
