,text,line,start_pos,end_pos,file,Y,Predicted_Values
59,"['violation', 'of', 'cfr', 'appendix', 'criterion', 'was', 'identified', 'for', 'failure', 'to', 'preclude', 'repetition', 'of', 'significant', 'condition', 'adverse', 'to']",35,2038,2234,ML14041A484.txt,O,O
70,"['the', 'inspectors', 'determined', 'that', 'the', 'cause', 'of', 'the', 'finding', 'had', 'aspect', 'in', 'the', 'area', 'of', 'human']",39,711,827,ML14041A484.txt,O,T
176,"['the', 'inspectors', 'identified', 'green', 'violation', 'of', 'cfr', 'for', 'the', 'failure', 'to', 'assess', 'risk', 'associated', 'with', 'an', 'emergent', 'maintenance', 'activity', 'performed', 'on', 'one', 'of', 'the', 'offsite', 'power', 'circuit', 'components', 'inside', 'the', 'wolf', 'creek']",99,573,819,ML14041A484.txt,O,O
408,"['the', 'root', 'cause', 'analysis', 'also', 'determined', 'that', 'the', 'work', 'performed', 'under', 'work', 'order', 'was', 'not', 'in', 'accordance', 'with', 'station', 'procedural']",191,214,369,ML14041A484.txt,T,O
423,"['contrary', 'to', 'the', 'between', 'september', 'and', 'october', 'the', 'licensee', 'failed', 'to', 'preclude', 'repetition', 'of', 'significant', 'condition', 'adverse', 'to']",191,3079,3234,ML14041A484.txt,O,O
467,"['the', 'two', 'operators', 'were', 'unable', 'to', 'complete', 'their', 'rr', 'prior', 'to', 'completion', 'of', 'the', 'biennial', 'cycle', 'that', 'ended', 'in', 'the', 'nrc', 'was', 'unable', 'to', 'complete', 'the', 'assessment', 'of', 'that', 'aspect', 'of', 'the', 'requalification', 'program', 'in', 'accordance', 'with', 'inspection', 'procedure']",203,424,700,ML14041A484.txt,T,O
798,"['the', 'licensee', 'could', 'not', 'replace', 'the', 'bolts', 'because', 'of', 'interference', 'created', 'by', 'the', 'shock', 'pads', 'prevented']",82,1683,1791,ML14087A338.txt,O,T
931,"['the', 'corrective', 'actions', 'included', 'verifying', 'that', 'the', 'indications', 'did', 'not', 'structurally', 'affect', 'the', 'reactor', 'building', 'in', 'these', 'initiating', 'condition', 'report', 'and', 'scheduling', 'the', 'affected', 'areas', 'for', 'review', 'during', 'the', 'upcoming']",102,1600,1857,ML14087A338.txt,O,O
1137,"['the', 'team', 'determined', 'that', 'the', 'compliance', 'review', 'did', 'not', 'have', 'any', 'fire', 'protection', 'program', 'commitments', 'that', 'would', 'prevent', 'the']",134,2399,2540,ML14087A338.txt,O,O
1223,"['the', 'team', 'confirmed', 'that', 'the', 'licensee', 'documented', 'their', 'inspections', 'but', 'had', 'not', 'established', 'means', 'to', 'monitor', 'for', 'changes', 'as', 'specified', 'in', 'procedure']",142,2136,2293,ML14087A338.txt,O,O
1392,"['the', 'team', 'concluded', 'that', 'the', 'licensee', 'had', 'not', 'met', 'commitment', 'prior', 'to', 'the', 'period', 'of', 'extended']",170,1550,1669,ML14087A338.txt,O,O
2696,"['most', 'individuals', 'were', 'not', 'aware', 'of', 'the', 'actions', 'or', 'results', 'of', 'the']",73,1408,1508,ML11244A041.txt,O,T
4203,"['mitigating', 'systems', 'åá']",57,2552,2607,ML072260460.txt,O,T
4363,"['pseg', 'did', 'not', 'respond', 'to', 'the', 'requests', 'for', 'additional', 'information', 'and', 'eventually', 'retracted', 'the', 'relief', 'requests', 'on', 'march']",87,1416,1543,ML072260460.txt,T,T
4369,"['pseg', 'has', 'not', 'performed', 'detailed', 'evaluation', 'on', 'the', 'operability', 'of', 'the', 'plant', 'with', 'numerous', 'incomplete', 'weld', 'examinations', 'and', 'the', 'noncompliance', 'with', 'the', 'asme', 'code']",87,2262,2444,ML072260460.txt,T,T
4415,"['pseg', 'had', 'not', 'inspected', 'or', 'replaced', 'the', 'affected', 'tubing', 'as', 'specified', 'in', 'the', 'maintenance']",99,309,406,ML072260460.txt,T,T
4793,"['vendor', 'documentation', 'for', 'the', 'dmv', 'sight', 'glass', 'was', 'not', 'available', 'on', 'and', 'as', 'pseg', 'did', 'not', 'incorporate', 'appropriate', 'vendor', 'guidance', 'regarding', 'reinstallation', 'and', 'torque', 'requirements', 'for', 'the', 'sight', 'glasses', 'into', 'plant']",153,2370,2619,ML072260460.txt,T,O
6041,"['this', 'performance', 'deficiency', 'was', 'more', 'than', 'minor', 'because', 'it', 'was', 'associated', 'with', 'the', 'protection', 'against', 'external', 'factors', 'attribute', 'of', 'the', 'mitigating', 'systems', 'cornerstone', 'and', 'affected', 'the', 'cornerstone', 'objective', 'of', 'ensuring', 'the', 'and', 'capability', 'of', 'systems', 'that', 'respond', 'to', 'initiating', 'events', 'to', 'prevent', 'undesirable']",80,2110,2462,ML13182A476.txt,O,O
