,text,line,start_pos,end_pos,file,Y,Predicted_Values,Train_Accuracy,Val_Accuracy,Test_Accuracy
38,"['wolf', 'creek', 'arranged', 'for', 'the', 'transmission', 'system', 'maintenance', 'companies', 'to', 'recharge', 'gas', 'in', 'breaker', 'actively', 'feeding', 'the', 'train', 'class', 'distribution', 'without', 'performing', 'risk', 'management', 'actions', 'to', 'verify', 'the', 'readiness', 'of', 'onsite', 'power']",31,1558,1832,ML14041A484.txt,T,D,0.8000000715255737,0.8500000238418579,0.21428571428571427
45,"['the', 'inspectors', 'determined', 'that', 'the', 'finding', 'did', 'not', 'have', 'aspect', 'because', 'the', 'performance', 'deficiency', 'was', 'caused', 'by', 'an', 'inadequate', 'procedure', 'change', 'in', 'which', 'was', 'not', 'representative', 'of', 'current']",31,3002,3222,ML14041A484.txt,P,D,0.8000000715255737,0.8500000238418579,0.21428571428571427
50,"['of', 'crews', 'failed', 'the', 'simulator', 'scenario', 'portion', 'of', 'the', 'operating', 'and', 'of', 'licensed', 'operators', 'either', 'failed', 'the', 'scenario', 'or', 'failed', 'the', 'job', 'performance', 'measure', 'portions', 'of', 'the', 'operating']",35,181,424,ML14041A484.txt,O,O,0.8000000715255737,0.8500000238418579,0.21428571428571427
54,"['using', 'the', 'inspection', 'manual', 'chapter', 'appendix', 'the', 'inspector', 'determined', 'that', 'the', 'finding', 'was', 'more', 'than', 'minor', 'because', 'the', 'performance', 'deficiency', 'was', 'associated', 'with', 'the', 'mitigating', 'systems', 'cornerstone', 'attribute', 'of', 'human', 'and', 'affected', 'the', 'cornerstone', 'objective', 'of', 'ensuring', 'the', 'and', 'capability', 'of', 'systems', 'that', 'respond', 'to', 'initiating', 'events', 'to', 'prevent', 'undesirable']",35,927,1362,ML14041A484.txt,H,T,0.8000000715255737,0.8500000238418579,0.21428571428571427
147,"['the', 'licensee', 'remediated', 'and', 'retested', 'the', 'staff', 'prior', 'to', 'returning', 'them', 'to', 'licensed']",81,974,1064,ML14041A484.txt,O,O,0.8000000715255737,0.8500000238418579,0.21428571428571427
199,"['according', 'to', 'inspection', 'manual', 'chapter', 'appendix', 'risk', 'assessment', 'and', 'risk', 'management', 'significance', 'determination', 'greater', 'than', 'minor', 'inspection', 'finding', 'that', 'results', 'from', 'the', 'underestimate', 'of', 'plant', 'risk', 'should', 'be', 'evaluated', 'using', 'the', 'methods', 'in', 'appendix', 'appendix', 'step', 'evaluation', 'of', 'states', 'that', 'the', 'regional', 'senior', 'reactor', 'analyst', 'may', 'independently', 'evaluate', 'the', 'risk', 'if', 'there', 'are', 'specific', 'concerns', 'regarding', 'the', 'adequacy', 'of', 'the', 'assessment', 'such', 'as', 'the', 'quantitative', 'risk', 'assessment', 'contained']",103,2441,3016,ML14041A484.txt,T,D,0.8000000715255737,0.8500000238418579,0.21428571428571427
215,"['the', 'licensee', 'allowed', 'switchyard', 'personnel', 'to', 'perform', 'troubleshooting', 'and', 'online', 'corrective', 'maintenance', 'to', 'address', 'an', 'emergent', 'condition', 'on', 'switchyard', 'breaker', 'which', 'was', 'part', 'of', 'the', 'train', 'offsite', 'power', 'without', 'assessing', 'the', 'impact', 'on', 'scheduled', 'maintenance', 'in', 'and', 'without', 'consideration', 'of', 'risk', 'management', 'actions', 'to', 'ensure', 'the', 'readiness', 'of', 'the', 'diesel', 'generator']",107,1786,2195,ML14041A484.txt,T,D,0.8000000715255737,0.8500000238418579,0.21428571428571427
285,"['the', 'nrc', 'observed', 'that', 'the', 'licensee', 'dose', 'assessor', 'participating', 'in', 'the', 'november', 'emergency', 'preparedness', 'exercise', 'was', 'knowledgeable', 'about', 'an', 'inaccuracy', 'in', 'the', 'electronic', 'dose', 'calculation', 'program', 'and', 'subsequently', 'reviewed', 'condition', 'report', 'potential', 'incorrect', 'edcp', 'dose', 'dated', 'january']",145,890,1226,ML14041A484.txt,D,T,0.8000000715255737,0.8500000238418579,0.21428571428571427
408,"['the', 'root', 'cause', 'analysis', 'also', 'determined', 'that', 'the', 'work', 'performed', 'under', 'work', 'order', 'was', 'not', 'in', 'accordance', 'with', 'station', 'procedural']",191,214,369,ML14041A484.txt,P,D,0.8000000715255737,0.8500000238418579,0.21428571428571427
413,"['failure', 'to', 'preclude', 'repetitive', 'failures', 'of', 'the', 'train', 'class', 'air', 'significant', 'condition', 'adverse', 'to', 'is', 'performance']",191,947,1100,ML14041A484.txt,T,T,0.8000000715255737,0.8500000238418579,0.21428571428571427
