,text,line,start_pos,end_pos,file,Y,Predicted_Values,Train_Accuracy,Val_Accuracy,Test_Accuracy
59,"['violation', 'of', 'cfr', 'appendix', 'criterion', 'was', 'identified', 'for', 'failure', 'to', 'preclude', 'repetition', 'of', 'significant', 'condition', 'adverse', 'to']",35,2038,2234,ML14041A484.txt,O,O,0.8553029894828796,0.8733333349227905,0.6944444444444444
61,"['the', 'licensee', 'eventually', 'determined', 'that', 'the', 'probable', 'cause', 'of', 'the', 'failures', 'was', 'the', 'failure', 'to', 'adequately', 'chemically', 'clean', 'the', 'system', 'following', 'the', 'failure', 'of', 'charcoal', 'in', 'that', 'some', 'charcoal', 'and', 'cleaning', 'agent', 'was', 'not', 'removed', 'following', 'the', 'work']",35,2420,2682,ML14041A484.txt,O,O,0.8553029894828796,0.8733333349227905,0.6944444444444444
70,"['the', 'inspectors', 'determined', 'that', 'the', 'cause', 'of', 'the', 'finding', 'had', 'aspect', 'in', 'the', 'area', 'of', 'human']",39,711,827,ML14041A484.txt,O,O,0.8553029894828796,0.8733333349227905,0.6944444444444444
72,"['specifically', 'applicable', 'housekeeping', 'requirements', 'detailed', 'in', 'station', 'procedure', 'system', 'were', 'not', 'met', 'during', 'the', 'chemical', 'cleaning', 'of', 'system', 'piping', 'on', 'may']",39,977,1190,ML14041A484.txt,P,O,0.8553029894828796,0.8733333349227905,0.6944444444444444
150,"['using', 'the', 'inspection', 'manual', 'chapter', 'appendix', 'the', 'inspector', 'determined', 'that', 'the', 'finding', 'was', 'more', 'than', 'minor', 'because', 'the', 'performance', 'deficiency', 'was', 'associated', 'with', 'the', 'mitigating', 'systems', 'cornerstone', 'attribute', 'of', 'human', 'and', 'affected', 'the', 'cornerstone', 'objective', 'of', 'ensuring', 'the', 'and', 'capability', 'of', 'systems', 'that', 'respond', 'to', 'initiating', 'events', 'to', 'prevent', 'undesirable']",81,1390,1825,ML14041A484.txt,O,O,0.8553029894828796,0.8733333349227905,0.6944444444444444
200,"['as', 'stated', 'in', 'step', 'of', 'risk', 'if', 'the', 'licensee', 'did', 'not', 'perform', 'risk', 'assessment', 'at', 'the', 'actual', 'risk', 'increase', 'is', 'the', 'product', 'of', 'the', 'incremental', 'core', 'damage', 'frequency', 'and', 'the', 'annualized', 'fraction', 'of', 'the', 'duration', 'of', 'the']",103,3016,3302,ML14041A484.txt,O,O,0.8553029894828796,0.8733333349227905,0.6944444444444444
294,"['the', 'licensee', 'determined', 'this', 'deficiency', 'existed', 'in', 'edcp', 'version', 'which', 'was', 'in', 'use', 'on', 'november', 'and', 'continued', 'to', 'exist', 'in', 'edcp', 'version', 'implemented', 'october']",145,2563,2744,ML14041A484.txt,O,O,0.8553029894828796,0.8733333349227905,0.6944444444444444
410,"['because', 'the', 'licensee', 'was', 'unable', 'to', 'clearly', 'identify', 'the', 'root', 'the', 'final', 'report', 'was', 'in', 'fact', 'documented', 'the', 'most', 'probable', 'cause', 'based', 'on', 'the', 'analyses']",191,621,785,ML14041A484.txt,O,O,0.8553029894828796,0.8733333349227905,0.6944444444444444
653,"['the', 'licensee', 'failed', 'to', 'perform', 'subsequent', 'visual', 'inspection', 'of', 'concrete', 'cracks', 'that', 'exceeded', 'acceptable', 'criteria', 'in', 'the', 'previous', 'inspection', 'as', 'specified', 'in', 'procedure', 'and', 'detailed', 'visual', 'examinations', 'of', 'concrete', 'revision']",40,1375,1659,ML14087A338.txt,O,O,0.8553029894828796,0.8733333349227905,0.6944444444444444
722,"['the', 'team', 'confirmed', 'that', 'the', 'licensee', 'had', 'not', 'committed', 'to', 'developing', 'an', 'aging', 'management', 'program', 'for', 'their']",70,0,144,ML14087A338.txt,O,O,0.8553029894828796,0.8733333349227905,0.6944444444444444
