,text,line,start_pos,end_pos,file,Y,Predicted_Values
6,"['dear', 'on', 'december', 'the', 'nuclear', 'regulatory', 'commission', 'completed', 'an', 'inspection', 'at', 'your', 'wolf', 'creek', 'generating', 'station', 'and', 'on', 'december', 'the', 'nrc', 'inspectors', 'discussed', 'the', 'results', 'of', 'this', 'inspection', 'with', 'russell', 'site', 'vice', 'and', 'other', 'members', 'of', 'your']",9,0,305,ML14041A484.txt,U,U
7,"['inspectors', 'documented', 'the', 'results', 'of', 'this', 'inspection', 'in', 'the', 'enclosed', 'inspection']",9,305,392,ML14041A484.txt,U,U
8,"['nrc', 'inspectors', 'documented', 'three', 'findings', 'of', 'very', 'low', 'safety', 'significance', 'in', 'this']",9,392,488,ML14041A484.txt,U,U
14,"['in', 'accordance', 'with', 'title', 'of', 'the', 'code', 'of', 'federal', 'regulations', 'requests', 'for', 'copy', 'of', 'this', 'its', 'and', 'your', 'response', 'will', 'be', 'available', 'electronically', 'for', 'public', 'inspection', 'in', 'the', 'public', 'document', 'room', 'or', 'from', 'the', 'publicly', 'available', 'records', 'component', 'of', 'the', 'agencywide', 'documents', 'access', 'and', 'management', 'system']",15,0,420,ML14041A484.txt,U,U
18,['heflin'],17,0,11,ML14041A484.txt,U,U
36,"['initiating', 'events', 'åá']",31,1273,1312,ML14041A484.txt,U,U
38,"['wolf', 'creek', 'arranged', 'for', 'the', 'transmission', 'system', 'maintenance', 'companies', 'to', 'recharge', 'gas', 'in', 'breaker', 'actively', 'feeding', 'the', 'train', 'class', 'distribution', 'without', 'performing', 'risk', 'management', 'actions', 'to', 'verify', 'the', 'readiness', 'of', 'onsite', 'power']",31,1558,1832,ML14041A484.txt,U,N
42,"['the', 'performance', 'deficiency', 'was', 'more', 'than', 'minor', 'because', 'it', 'affects', 'the', 'switchyard', 'activities', 'area', 'of', 'the', 'protection', 'against', 'external', 'factors', 'attribute', 'of', 'the', 'initiating', 'events']",31,2241,2428,ML14041A484.txt,N,N
47,[],33,0,3,ML14041A484.txt,U,U
59,"['violation', 'of', 'cfr', 'appendix', 'criterion', 'was', 'identified', 'for', 'failure', 'to', 'preclude', 'repetition', 'of', 'significant', 'condition', 'adverse', 'to']",35,2038,2234,ML14041A484.txt,N,N
64,"['failure', 'to', 'preclude', 'repetitive', 'failures', 'of', 'the', 'train', 'class', 'air', 'significant', 'condition', 'adverse', 'to', 'is', 'performance']",35,2857,3010,ML14041A484.txt,N,N
