,text,line,start_pos,end_pos,file,Y,Predicted_Values
149,"['in', 'accordance', 'with', 'inspection', 'procedure', 'each', 'of', 'the', 'following', 'was', 'performance', 'deficiency', 'against', 'expected', 'licensed', 'operator', 'knowledge', 'and', 'greater', 'than', 'percent', 'of', 'the', 'crews', 'failing', 'their', 'scenarios', 'and', 'greater', 'than', 'percent', 'of', 'the', 'licensed', 'operator', 'staff', 'failing', 'their', 'operating']",81,1073,1390,ML14041A484.txt,O,O
370,"['green', 'violation', 'of', 'cfr', 'appendix', 'criterion', 'was', 'identified', 'for', 'failure', 'to', 'preclude', 'repetition', 'of', 'significant', 'condition', 'adverse', 'to']",183,570,772,ML14041A484.txt,O,O
799,"['based', 'on', 'review', 'of', 'the', 'actions', 'implemented', 'related', 'to', 'the', 'reactor', 'vessel', 'internals', 'program', 'aging', 'management', 'the', 'team', 'could', 'not', 'conclude', 'that', 'the', 'licensee', 'implemented', 'actions', 'that', 'would', 'effectively', 'manage', 'the', 'effects', 'of', 'aging', 'during', 'the', 'period', 'of', 'extended']",82,1791,2065,ML14087A338.txt,O,O
1930,"['the', 'operator', 'became', 'distracted', 'due', 'to', 'conditions', 'in', 'the', 'control', 'room', 'and', 'failed', 'to', 'perform', 'step', 'prior', 'to', 'continuing', 'on', 'in', 'the']",162,637,781,ML12027A131.txt,H,O
2022,"['the', 'licensee', 'failed', 'to', 'ensure', 'during', 'safe', 'shutdown', 'involving', 'large', 'fire', 'in', 'the', 'unit', 'and', 'unit', 'rcs', 'process', 'variables', 'would', 'be', 'maintained', 'within', 'those', 'predicted', 'for', 'loss', 'of', 'normal', 'ac']",176,959,1174,ML12027A131.txt,O,O
2533,"['in', 'nos', 'pbn', 'quarter', 'site', 'quarter', 'priority', 'dqs', 'was', 'conducted', 'of', 'the', 'bechtel', 'cap', 'and', 'concluded', 'the', 'bechtel', 'qa', 'program', 'for', 'the', 'epu', 'project', 'during', 'the', 'unit', 'refueling', 'outage', 'was', 'inadequate', 'and', 'did', 'not', 'prevent', 'significant', 'performance', 'deficiencies', 'from', 'occurring', 'and']",43,1282,1682,ML11244A041.txt,O,O
2544,"['since', 'it', 'had', 'been', 'previously', 'even', 'though', 'newly', 'installed', 'equipment', 'may', 'have', 'affected', 'the', 'corrective', 'actions', 'or', 'priority', 'of', 'the', 'initial']",45,0,151,ML11244A041.txt,H,O
2580,"['integrated', 'inspection', 'report', 'included', 'an', 'ncv', 'for', 'failure', 'to', 'perform', 'an', 'operability', 'determination', 'in', 'accordance', 'with', 'procedure', 'when', 'leak', 'on', 'the', 'secondary', 'side', 'of', 'the', 'steam', 'generator', 'was', 'identified', 'in', 'late']",53,1822,2045,ML11244A041.txt,O,O
2601,"['the', 'source', 'of', 'the', 'water', 'was', 'not']",61,709,757,ML11244A041.txt,P,O
4213,"['an', 'operator', 'did', 'not', 'identify', 'an', 'incorrect', 'switch', 'position', 'because', 'the', 'operator', 'did', 'not', 'verify', 'the', 'expected', 'system', 'response', 'when', 'placing', 'the', 'cac', 'switch', 'to']",59,981,1156,ML072260460.txt,H,H
4223,['åá'],59,2685,2708,ML072260460.txt,O,O
4521,"['operators', 'still', 'did', 'not', 'initiate', 'additional', 'log', 'readings', 'for', 'the', 'sw', 'hxs', 'listed', 'in', 'attachment']",113,2536,2631,ML072260460.txt,T,O
4542,"['the', 'finding', 'has', 'aspect', 'in', 'the', 'area', 'of', 'human', 'performance', 'because', 'pseg', 'personnel', 'did', 'not', 'follow', 'plant', 'procedures']",117,2424,2559,ML072260460.txt,T,T
5170,"['the', 'licensee', 'investigated', 'these', 'concerns', 'and', 'determined', 'that', 'this', 'alternate', 'sample', 'point', 'was', 'not', 'adequate', 'in', 'that', 'it', 'did', 'not', 'meet', 'the', 'intent', 'of', 'technical', 'specification', 'action', 'which', 'required', 'that', 'grab', 'samples', 'be', 'taken', 'every']",61,1894,2138,wat_2000010.txt,O,O
5371,"['this', 'finding', 'has', 'aspect', 'in', 'the', 'area', 'of', 'human', 'performance', 'because', 'the', 'maintenance', 'personnel', 'who', 'performed', 'the', 'battery', 'surveillance', 'did', 'not', 'have', 'sufficient', 'training', 'to', 'recognize', 'the', 'presence', 'of']",25,1561,1779,ML11300A116.txt,O,O
5440,"['although', 'site', 'personnel', 'had', 'been', 'briefed', 'on', 'the', 'changes', 'that', 'were', 'maintenance', 'personnel', 'were', 'not', 'fully', 'aware', 'of', 'the', 'changes', 'in', 'that', 'the', 'pallet', 'board', 'discussed', 'above', 'was', 'initially', 'believed', 'to', 'be', 'minor', 'transient']",39,1437,1667,ML11300A116.txt,T,O
5458,"['the', 'inspectors', 'determined', 'that', 'the', 'finding', 'screened', 'as', 'having', 'very', 'low', 'safety', 'significance', 'in', 'task', 'of', 'imc', 'appendix', 'this', 'finding', 'had', 'aspect', 'in', 'the', 'area', 'of', 'human', 'performance', 'within', 'the', 'decision', 'making', 'component', 'because', 'the', 'licensee', 'did', 'not', 'demonstrate', 'that', 'nuclear', 'safety', 'is', 'an', 'overriding']",45,857,1192,ML11300A116.txt,O,O
