,Unnamed: 0,text,line,start_pos,end_pos,file,Y,Predicted_Values
660,49,"['the', 'licensee', 'did', 'not', 'implement', 'process', 'of', 'and', 'executing', 'work', 'activities', 'such', 'that', 'nuclear', 'safety', 'was', 'the', 'overriding', 'priority']",40,2997,3175,ML14087A338.txt,O,O
1935,263,"['operation', 'of', 'the', 'unit', 'tdafw', 'pump', 'with', 'the', 'pump', 'suction', 'valves', 'closed', 'is', 'performance', 'deficiency', 'because', 'the', 'operator', 'did', 'not', 'follow', 'the', 'written', 'instructions', 'in', 'the']",162,1232,1419,ML12027A131.txt,H,O
1940,268,"['the', 'inspectors', 'determined', 'that', 'the', 'cause', 'of', 'this', 'finding', 'was', 'related', 'to', 'the', 'work', 'practices', 'component', 'of', 'the', 'human', 'performance', 'area', 'due', 'to', 'human', 'error', 'prevention', 'techniques']",162,2116,2329,ML12027A131.txt,T,O
2038,366,"['contrary', 'to', 'the', 'on', 'the', 'nrc', 'identified', 'that', 'the', 'licensee', 'failed', 'to', 'ensure', 'during', 'safe', 'unit', 'and', 'unit', 'reactor', 'coolant', 'process', 'variables', 'would', 'be', 'maintained', 'within', 'those', 'predicted', 'for', 'loss', 'of', 'normal', 'ac']",178,433,695,ML12027A131.txt,O,O
2469,13,"['the', 'inspection', 'did', 'identify', 'weaknesses', 'in', 'the', 'identification', 'of', 'trends', 'and', 'performance', 'deficiencies', 'pertaining', 'to', 'the', 'initiation', 'and', 'quality', 'of', 'operability', 'determinations', 'and', 'reportability']",9,1313,1523,ML11244A041.txt,O,O
2533,77,"['in', 'nos', 'pbn', 'quarter', 'site', 'quarter', 'priority', 'dqs', 'was', 'conducted', 'of', 'the', 'bechtel', 'cap', 'and', 'concluded', 'the', 'bechtel', 'qa', 'program', 'for', 'the', 'epu', 'project', 'during', 'the', 'unit', 'refueling', 'outage', 'was', 'inadequate', 'and', 'did', 'not', 'prevent', 'significant', 'performance', 'deficiencies', 'from', 'occurring', 'and']",43,1282,1682,ML11244A041.txt,O,O
2546,90,"['the', 'inspection', 'also', 'revealed', 'weakness', 'in', 'identifying', 'trends', 'in', 'human', 'performance', 'and', 'equipment']",45,218,322,ML11244A041.txt,O,O
2548,92,"['it', 'also', 'defined', 'an', 'adverse', 'trend', 'as', 'negative', 'change', 'in', 'performance', 'that', 'and', 'judgment', 'indicated', 'an', 'adverse', 'impact', 'on', 'safety', 'or', 'or', 'because', 'relative', 'large', 'number', 'of', 'performance', 'problems', 'pointed', 'to', 'more', 'significant', 'future']",45,594,861,ML11244A041.txt,O,O
2580,124,"['integrated', 'inspection', 'report', 'included', 'an', 'ncv', 'for', 'failure', 'to', 'perform', 'an', 'operability', 'determination', 'in', 'accordance', 'with', 'procedure', 'when', 'leak', 'on', 'the', 'secondary', 'side', 'of', 'the', 'steam', 'generator', 'was', 'identified', 'in', 'late']",53,1822,2045,ML11244A041.txt,O,O
2581,125,"['the', 'inspectors', 'found', 'number', 'of', 'examples', 'where', 'operability', 'determinations', 'did', 'not', 'address', 'the', 'degraded', 'or', 'condition', 'described', 'in', 'the', 'ar', 'when', 'concluding']",53,2045,2225,ML11244A041.txt,O,O
