,end_pos,file,line,start_pos,text,Y,Predicted_Values,Train_Accuracy,Val_Accuracy,Test_Accuracy
37,1558,ML14041A484.txt,31,1312,"['the', 'inspectors', 'identified', 'green', 'violation', 'of', 'cfr', 'for', 'the', 'failure', 'to', 'assess', 'risk', 'associated', 'with', 'an', 'emergent', 'maintenance', 'activity', 'performed', 'on', 'one', 'of', 'the', 'offsite', 'power', 'circuit', 'components', 'inside', 'the', 'wolf', 'creek']",T,D,0.8297490477561951,0.8333332538604736,0.06451612903225806
72,1190,ML14041A484.txt,39,977,"['specifically', 'applicable', 'housekeeping', 'requirements', 'detailed', 'in', 'station', 'procedure', 'system', 'were', 'not', 'met', 'during', 'the', 'chemical', 'cleaning', 'of', 'system', 'piping', 'on', 'may']",T,D,0.8297490477561951,0.8333332538604736,0.06451612903225806
143,645,ML14041A484.txt,81,402,"['of', 'crews', 'failed', 'the', 'simulator', 'scenario', 'portion', 'of', 'the', 'operating', 'and', 'of', 'licensed', 'operators', 'either', 'failed', 'the', 'scenario', 'or', 'failed', 'the', 'job', 'performance', 'measure', 'portions', 'of', 'the', 'operating']",O,D,0.8297490477561951,0.8333332538604736,0.06451612903225806
214,1786,ML14041A484.txt,107,1622,"['contrary', 'to', 'the', 'on', 'november', 'the', 'licensee', 'failed', 'to', 'assess', 'and', 'manage', 'the', 'increase', 'in', 'risk', 'that', 'may', 'result', 'from', 'the', 'proposed', 'maintenance']",T,D,0.8297490477561951,0.8333332538604736,0.06451612903225806
215,2195,ML14041A484.txt,107,1786,"['the', 'licensee', 'allowed', 'switchyard', 'personnel', 'to', 'perform', 'troubleshooting', 'and', 'online', 'corrective', 'maintenance', 'to', 'address', 'an', 'emergent', 'condition', 'on', 'switchyard', 'breaker', 'which', 'was', 'part', 'of', 'the', 'train', 'offsite', 'power', 'without', 'assessing', 'the', 'impact', 'on', 'scheduled', 'maintenance', 'in', 'and', 'without', 'consideration', 'of', 'risk', 'management', 'actions', 'to', 'ensure', 'the', 'readiness', 'of', 'the', 'diesel', 'generator']",O,D,0.8297490477561951,0.8333332538604736,0.06451612903225806
411,938,ML14041A484.txt,191,785,"['failure', 'to', 'preclude', 'repetitive', 'failures', 'of', 'the', 'train', 'class', 'air', 'significant', 'condition', 'adverse', 'to', 'is', 'performance']",T,D,0.8297490477561951,0.8333332538604736,0.06451612903225806
413,1100,ML14041A484.txt,191,947,"['failure', 'to', 'preclude', 'repetitive', 'failures', 'of', 'the', 'train', 'class', 'air', 'significant', 'condition', 'adverse', 'to', 'is', 'performance']",T,D,0.8297490477561951,0.8333332538604736,0.06451612903225806
418,2377,ML14041A484.txt,191,2227,"['the', 'licensee', 'did', 'not', 'ensure', 'accurate', 'and', 'design', 'and', 'work', 'and', 'correct', 'labeling', 'of']",T,D,0.8297490477561951,0.8333332538604736,0.06451612903225806
655,2072,ML14087A338.txt,40,1916,"['the', 'team', 'determined', 'that', 'the', 'failure', 'to', 'assess', 'previous', 'indications', 'of', 'concrete', 'as', 'specified', 'in', 'plant', 'was', 'performance']",T,D,0.8297490477561951,0.8333332538604736,0.06451612903225806
659,2997,ML14087A338.txt,40,2883,"['the', 'team', 'determined', 'that', 'this', 'finding', 'had', 'human', 'performance', 'cross', 'cutting', 'aspect', 'in', 'the', 'area', 'of', 'work']",H,D,0.8297490477561951,0.8333332538604736,0.06451612903225806
