text,Y,Predicted_Values
RG&E failed to provide and follow appropriate instructions for the calibration of the OTDT lead-lag circuit.,O,T
"åá The licensee identified that maintenance craftsmen had failed to follow a loop calibration procedure for the Train A reactor auxiliary building controlled ventilation system on January 8, 2007.",T,O
"The operability section did not address the door being held open, which impacted the operability of the door as a HELB and fire barrier.",P,O
"In response to the inspectors' concerns, the licensee performed a seismic analysis and determined that the non-seismic piping would not fall during an operating basis earthquake.",O,O
The licensee entered the technical specification but did not adequately take samples once per 8 hours as required by Action 28.,O,O
The inspectors determined that the finding was more than minor because the failure to implement the diesel fire pump battery surveillance procedure was associated with the Mitigating Systems cornerstone attribute of Protection Against External Factors (Fire) and affected the cornerstone objective of ensuring the availability and reliability of mitigating systems to respond to fire events to prevent undesirable consequences.,O,O
"Step 5.5.3, inspect oil filter lubricating oil tubing and replace the tubing when necessary, was marked as not required.",T,O
This finding has a cross-cutting aspect in the area of Human Performance because the maintenance personnel who performed the battery surveillance did not have sufficient training to recognize the presence of corrosion.,O,O
"The team identified that from January through June 2011, there was a negative trend regarding ACE rejection rate that was not identified by the licensee.",O,O
Many of the issues reviewed were the result of inappropriate actions taken when an unexpected condition was encountered.,O,O
"Specifically, an operator did not identify an incorrect switch position because the operator did not verify the expected system response when placing the 21 CAC switch to run.",H,H
"7 In accordance with MC 0612, Appendix B, Section 2, this finding has the potential to impact the NRC's ability to perform its regulatory function since PSEG did not submit the required relief request within the required time period, and as a result, impeded the NRC's ability to evaluate and decide on the relief requests in a timely manner.",T,T
This finding had a cross-cutting aspect in the area of Human Performance within the decision making component because the licensee did not properly communicate and reinforce expectations related to the fire protection program implementation concerning transient combustibles to personnel performing maintenance work and fire watches.,O,O
"This finding has a crosscutting aspect in the area of human performance associated with resources, because the licensee failed to ensure that personnel were adequately trained to assure nuclear safety [H.2(b)].",O,O
"During a recent HELB analysis to support the increased core flow (ICF) license amendment, the licensee noted that previous HELB analyses, such as for extended power uprate, did not consider the effects of feed water temperature reduction (FWTR) on the mass and energy liberated during a HELB on environmentally qualified (EQ) safety related components in the reactor building and the 10 CFR 100 accident 10 Enclosure",O,O
The AR actions did not try to determine why the labels were not corrected as part of the recent modification or determine the extent of condition.,O,T
The licensee verified that 20 years of oil analysis results did not identify the Total Acid Number as the basis for an oil change.,O,O
"Specifically, Exelon failed to meet the requirements of its Preventive Maintenance Program as documented in procedure ERAA-200.",O,O
"(1) Failure to Update the Updated Final Safety Analysis Report for Reactor Water Cleanup System Design Changes Introduction: A Severity Level IV NCV of 10 CFR 50.71(e), ""Periodic Update of the Final Safety Analysis Report,"" and an accompanying Green finding were identified by the inspectors for the licensee's failure to update the UFSAR for a design modification performed on the Unit 3 RWCU system.",O,O
The team confirmed that the licensee had not committed to developing an aging management program for their non-segregated metal-enclosed buses.,O,O
"The inspectors identified a Severity Level IV, NCV of License Conditions 2.E and 3.G, for Units 2 and 3, and an associated finding of very low safety significance (Green) for the failure to obtain NRC approval prior to making a change, which was adverse to safe shutdown.",O,O
"Specifically, by failing to establish a preventive maintenance strategy for fire safe shutdown transfer/isolation switches, Exelon did not ensure that the local control circuits for several 4KV breakers would be isolated from the effects of fire damage.",O,O
The inspectors determined that PSEG's inadequate configuration control was a performance deficiency that resulted in six hours of inoperability for the 21 CAC.,T,T
"In accordance with the NRC Enforcement Policy, the violation is listed below: 10 CFR 50.55a(g)(5)(iv) states in part that where an examination requirement by the code or addenda is determined to be impractical by the licensee and is not included in the revised inservice inspection (ISI) program as permitted by paragraph (g)(4) of this section, the basis for this determination must be demonstrated to the satisfaction of the Commission not later than 12 months after the expiration of the initial 120-month period of operation from start of facility commercial operation and each subsequent 120-month period of operation during which the examination is determined to be impractical.",O,O
"A cracked insulator on the west 345kV bus, part of the train B offsite power circuit, was also not properly being assessed for plant risk.",T,O
"The team determined that the program document did not describe scheduling inspections, basis of line selection, basis for inspection points, and plans for re-inspection.",O,O
The operability section did not address the operability of the AFW pumps due to internal flooding from the clogged drain.,P,P
"Contrary to the above, on July 28 and August 29, 2011, the inspectors identified several instances of transient combustibles stored near safety-related components which were not in accordance with procedure OP-AA-201-009.",P,O
"While he was doing so, the inspectors noted that other board members made comments that the board member should ""hurry"" and provide ""the bottom line"" to his evaluation, or through their body language conveyed impatience with the board member presenting his views.",H,O
