,text,line,start_pos,end_pos,file,Y,Predicted_Values
61,"['the', 'licensee', 'eventually', 'determined', 'that', 'the', 'probable', 'cause', 'of', 'the', 'failures', 'was', 'the', 'failure', 'to', 'adequately', 'chemically', 'clean', 'the', 'system', 'following', 'the', 'failure', 'of', 'charcoal', 'in', 'that', 'some', 'charcoal', 'and', 'cleaning', 'agent', 'was', 'not', 'removed', 'following', 'the', 'work']",35,2420,2682,ML14041A484.txt,O,T
146,"['there', 'were', 'two', 'crew', 'failures', 'and', 'individual']",81,918,974,ML14041A484.txt,T,O
408,"['the', 'root', 'cause', 'analysis', 'also', 'determined', 'that', 'the', 'work', 'performed', 'under', 'work', 'order', 'was', 'not', 'in', 'accordance', 'with', 'station', 'procedural']",191,214,369,ML14041A484.txt,T,O
419,"['specifically', 'applicable', 'housekeeping', 'requirements', 'detailed', 'in', 'station', 'procedure', 'system', 'were', 'not', 'met', 'during', 'the', 'chemical', 'cleaning', 'of', 'system', 'piping', 'on', 'may']",191,2377,2590,ML14041A484.txt,P,T
722,"['the', 'team', 'confirmed', 'that', 'the', 'licensee', 'had', 'not', 'committed', 'to', 'developing', 'an', 'aging', 'management', 'program', 'for', 'their']",70,0,144,ML14087A338.txt,O,O
930,"['during', 'the', 'anniversary', 'of', 'the', 'concrete', 'containment', 'inspection', 'of', 'unit', 'reactor', 'the', 'licensee', 'failed', 'to', 'perform', 'subsequent', 'visual', 'inspection', 'of', 'concrete', 'cracks', 'that', 'exceeded', 'acceptable', 'criteria', 'from', 'the', 'anniversary', 'inspection']",102,1325,1600,ML14087A338.txt,O,O
931,"['the', 'corrective', 'actions', 'included', 'verifying', 'that', 'the', 'indications', 'did', 'not', 'structurally', 'affect', 'the', 'reactor', 'building', 'in', 'these', 'initiating', 'condition', 'report', 'and', 'scheduling', 'the', 'affected', 'areas', 'for', 'review', 'during', 'the', 'upcoming']",102,1600,1857,ML14087A338.txt,O,O
1218,"['the', 'team', 'observed', 'that', 'the', 'staff', 'had', 'experienced', 'great', 'deal', 'of', 'turnover', 'in', 'which', 'seemed', 'to', 'challenge', 'the', 'knowledge', 'transfer', 'of', 'system', 'conditions', 'and', 'procedure']",142,1313,1496,ML14087A338.txt,T,O
1221,"['this', 'misunderstanding', 'was', 'called', 'to', 'the', 'attention', 'of', 'site', 'and', 'may', 'require', 'additional', 'clarification', 'for', 'staff', 'on', 'roles', 'and', 'responsibilities', 'for', 'executing', 'the', 'program']",142,1842,2031,ML14087A338.txt,T,O
1720,"['the', 'design', 'change', 'was', 'being', 'installed', 'to', 'prevent', 'pressurization', 'of', 'the', 'shutdown', 'cooling', 'header', 'due', 'to', 'leakage', 'through', 'the', 'reactor', 'coolant', 'system', 'pressure', 'isolation']",40,1731,1902,ML061290031.txt,O,O
