,text,line,start_pos,end_pos,file,Y,Predicted_Values
0,"['unite', 'tate']",0,0,16,ML14041A484.txt,U,U
2,"['io', 'east', 'lamar', 'blvd', 'ar', 'ington', 'texas']",3,0,67,ML14041A484.txt,U,U
15,"['adams', 'is', 'accessible', 'from', 'the', 'nrc', 'web', 'site', 'at', 'public', 'electronic', 'reading']",15,420,543,ML14041A484.txt,U,U
16,"['neil', 'chief', 'project', 'branch', 'division', 'of', 'reactor', 'projects', 'docket']",15,543,636,ML14041A484.txt,U,U
25,"['senior', 'resident', 'inspector', 'resident', 'inspector', 'operations', 'engineer', 'senior', 'reactor', 'inspector', 'emergency', 'preparedness', 'inspector', 'skaggs', 'reactor', 'inspector', 'paul', 'senior', 'emergency', 'preparedness', 'inspector', 'gilbert', 'emergency', 'preparedness', 'inspector', 'raja', 'resident', 'inspector', 'nnaerika', 'reactor', 'inspector', 'approved', 'neil', 'project', 'branch', 'division', 'of', 'reactor', 'projects']",25,0,482,ML14041A484.txt,U,N
28,"['summary', 'ir', 'wolf', 'creek', 'generating', 'integrated', 'resident', 'and', 'regional', 'licensed', 'operator', 'requalification', 'maintenance', 'risk', 'assessments', 'and', 'emergent', 'work', 'problem', 'identification', 'and']",31,0,264,ML14041A484.txt,U,N
31,"['three', 'of', 'these', 'findings', 'involved', 'violations', 'of', 'nrc', 'one', 'of', 'the', 'findings', 'did', 'not', 'involve', 'violation', 'of', 'nrc']",31,578,711,ML14041A484.txt,U,U
38,"['wolf', 'creek', 'arranged', 'for', 'the', 'transmission', 'system', 'maintenance', 'companies', 'to', 'recharge', 'gas', 'in', 'breaker', 'actively', 'feeding', 'the', 'train', 'class', 'distribution', 'without', 'performing', 'risk', 'management', 'actions', 'to', 'verify', 'the', 'readiness', 'of', 'onsite', 'power']",31,1558,1832,ML14041A484.txt,U,N
40,"['this', 'issue', 'was', 'entered', 'into', 'the', 'corrective', 'action', 'program', 'as', 'condition', 'report']",31,1906,1993,ML14041A484.txt,U,U
44,"['the', 'regional', 'senior', 'reactor', 'analyst', 'performed', 'bounding', 'analysis', 'of', 'the', 'incremental', 'core', 'damage', 'probability', 'and', 'determined', 'that', 'the', 'finding', 'was', 'of', 'very', 'low', 'safety', 'significance', 'because', 'the', 'bounding', 'analysis', 'indicated', 'that', 'the', 'effect', 'of', 'the', 'finding', 'on', 'plant', 'operations', 'was', 'less', 'than', 'the']",31,2686,3002,ML14041A484.txt,U,N
49,"['the', 'inspector', 'reviewed', 'finding', 'associated', 'with', 'licensed', 'operator', 'performance', 'on', 'the', 'annual', 'requalification', 'operating']",35,41,181,ML14041A484.txt,U,U
68,"['the', 'leftover', 'debris', 'in', 'the', 'system', 'resulted', 'in', 'subsequent', 'maintenance', 'outage', 'to', 'replace', 'rapidly', 'degrading']",39,0,119,ML14041A484.txt,U,U
83,"['the', 'inspectors', 'reviewed', 'applicable', 'station', 'procedure', 'revisions', 'to', 'verify', 'that', 'adequate', 'guidance', 'was', 'provided', 'to']",43,1147,1269,ML14041A484.txt,U,N
86,"['findings', 'no', 'findings', 'were']",43,1603,1640,ML14041A484.txt,U,U
91,"['october', 'high', 'pressure', 'coolant', 'injection', 'train', 'during', 'centrifugal', 'charging', 'pump', 'planned', 'maintenance', 'outage', 'october', 'residual', 'heat', 'removal', 'train', 'during', 'residual', 'heat', 'removal', 'pump', 'planned', 'maintenance', 'outage', 'november', 'emergency', 'diesel', 'generator', 'during', 'emergency', 'diesel', 'generator', 'and', 'essential', 'service', 'water', 'planned', 'maintenance', 'outage']",49,0,369,ML14041A484.txt,U,N
92,"['the', 'inspectors', 'reviewed', 'the', 'procedures', 'and', 'system', 'design', 'information', 'to', 'determine', 'the', 'correct', 'lineup', 'for', 'the']",51,0,128,ML14041A484.txt,U,N
94,"['these', 'activities', 'constituted', 'three', 'partial', 'system', 'samples', 'as', 'defined', 'in', 'inspection', 'procedure']",51,249,364,ML14041A484.txt,U,U
96,"['fire', 'protection']",51,401,438,ML14041A484.txt,U,U
105,"['annual', 'inspection', 'inspection', 'scope', 'on', 'october', 'the', 'inspectors', 'completed', 'their', 'annual', 'evaluation', 'of', 'the', 'fire', 'brigade']",59,0,148,ML14041A484.txt,U,N
107,"['the', 'inspectors', 'evaluated', 'the', 'capability', 'of', 'the', 'fire', 'brigade', 'the', 'leadership', 'ability', 'of', 'the', 'brigade', 'the', 'use', 'of', 'turnout', 'gear', 'and', 'and', 'the', 'effectiveness', 'of', 'the', 'fire', 'team']",59,332,569,ML14041A484.txt,U,N
108,"['the', 'inspectors', 'also', 'reviewed', 'whether', 'the', 'fire', 'brigade', 'met', 'nrc', 'requirements', 'for', 'dedicated', 'size', 'and', 'and']",59,569,714,ML14041A484.txt,U,U
111,"['heat', 'sink', 'performance']",61,0,40,ML14041A484.txt,U,U
112,"['inspection', 'scope', 'the', 'inspectors', 'reviewed', 'licensee', 'programs', 'to', 'verify', 'heat', 'exchanger', 'performance', 'and', 'operability', 'for', 'the', 'following', 'heat', 'åá', 'åá', 'åá', 'diesel', 'generator', 'cooling', 'water', 'system', 'safety', 'injection', 'pump', 'room', 'cooler', 'auxiliary', 'feedwater', 'pump', 'room', 'cooler']",61,40,332,ML14041A484.txt,U,N
114,"['the', 'inspectors', 'verified', 'that', 'the', 'periodic', 'testing', 'and', 'monitoring', 'as', 'outlined', 'in', 'commitments', 'to', 'the', 'nrc', 'generic', 'letter', 'utilized', 'proper', 'industry', 'heat', 'exchanger']",63,141,324,ML14041A484.txt,U,N
126,"['findings', 'no', 'findings', 'were']",71,531,568,ML14041A484.txt,U,U
129,"['at', 'the', 'time', 'of', 'the', 'the', 'plant', 'was', 'in', 'period', 'of', 'heightened', 'activity', 'due', 'to', 'reactor', 'startup', 'from', 'unplanned']",71,755,884,ML14041A484.txt,U,N
133,"['findings', 'no', 'findings', 'were']",73,348,385,ML14041A484.txt,U,U
135,[],77,0,6,ML14041A484.txt,U,U
148,[],81,1064,1073,ML14041A484.txt,U,U
149,"['in', 'accordance', 'with', 'inspection', 'procedure', 'each', 'of', 'the', 'following', 'was', 'performance', 'deficiency', 'against', 'expected', 'licensed', 'operator', 'knowledge', 'and', 'greater', 'than', 'percent', 'of', 'the', 'crews', 'failing', 'their', 'scenarios', 'and', 'greater', 'than', 'percent', 'of', 'the', 'licensed', 'operator', 'staff', 'failing', 'their', 'operating']",81,1073,1390,ML14041A484.txt,N,N
151,"['the', 'inspector', 'determined', 'that', 'this', 'finding', 'could', 'be']",81,1825,1876,ML14041A484.txt,U,U
157,"['this', 'finding', 'does', 'not', 'involve', 'enforcement', 'action', 'because', 'no', 'violation', 'of', 'regulatory', 'requirements', 'was']",85,613,725,ML14041A484.txt,U,U
159,"['because', 'this', 'finding', 'does', 'not', 'involve', 'violation', 'and', 'has', 'very', 'low', 'safety', 'significance', 'it', 'is', 'identified', 'as', 'fin', 'rates', 'exceed', 'twenty', 'percent', 'for', 'annual', 'requalification', 'operating']",85,822,1055,ML14041A484.txt,U,U
167,[],91,0,6,ML14041A484.txt,U,U
168,[],93,0,3,ML14041A484.txt,U,U
171,"['inspection', 'scope', 'the', 'inspectors', 'reviewed', 'three', 'risk', 'assessments', 'performed', 'by', 'the', 'licensee', 'prior', 'to', 'changes', 'in', 'plant', 'configuration', 'and', 'the', 'risk', 'management', 'actions', 'taken', 'by', 'the', 'licensee', 'in', 'response', 'to', 'elevated', 'åá', 'åá', 'åá', 'weekly', 'risk', 'assessment', 'for', 'planned', 'maintenance', 'november', 'weekly', 'risk', 'assessment', 'for', 'planned', 'maintenance', 'november', 'weekly', 'risk', 'assessment', 'for', 'planned', 'maintenance', 'december']",97,73,531,ML14041A484.txt,U,N
174,"['these', 'activities', 'constitute', 'completion', 'of', 'three', 'maintenance', 'risk', 'assessments', 'and', 'emergent', 'work', 'control', 'inspection', 'as', 'defined', 'in', 'inspection', 'procedure']",99,381,551,ML14041A484.txt,U,N
178,"['control', 'room', 'operators', 'received', 'plant', 'annunciator', 'indicating', 'low', 'gas', 'pressure', 'in', 'breaker', 'in', 'the', 'wolf', 'creek', 'switchyard', 'on', 'the', 'morning', 'of', 'november', 'this', 'breaker', 'was', 'supplying', 'train', 'offsite']",99,831,1055,ML14041A484.txt,U,N
179,"['westar', 'company', 'that', 'owns', 'the', 'personnel', 'recharged', 'the', 'clearing', 'the', 'trouble']",99,1055,1168,ML14041A484.txt,U,U
186,"['operators', 'assumed', 'that', 'this', 'meant', 'that', 'the', 'task', 'had', 'been', 'to', 'be', 'low', 'so', 'no', 'risk', 'assessment', 'was']",103,152,275,ML14041A484.txt,U,N
190,"['based', 'on', 'the', 'the', 'inspectors', 'concluded', 'that', 'recharging', 'the', 'gas', 'in', 'breaker', 'required', 'that', 'risk', 'assessment', 'be', 'performed', 'for', 'this', 'and', 'that', 'risk', 'management', 'actions', 'were', 'required', 'according', 'to', 'the']",103,824,1057,ML14041A484.txt,U,N
191,"['the', 'risk', 'management', 'actions', 'should', 'have', 'included', 'verification', 'of', 'the', 'emergency', 'diesel', 'generator', 'system', 'alignment', 'and', 'the', 'emergency', 'diesel', 'engine', 'room', 'posted', 'as', 'protected', 'equipment', 'for', 'the', 'duration', 'of', 'the', 'switchyard']",103,1057,1286,ML14041A484.txt,U,N
192,"['on', 'december', 'the', 'inspectors', 'observed', 'second', 'degraded', 'condition', 'in', 'the', 'switchyard', 'was', 'also', 'not']",103,1286,1401,ML14041A484.txt,U,N
197,"['the', 'inspectors', 'determined', 'that', 'failure', 'to', 'assess', 'risk', 'associated', 'with', 'an', 'emergent', 'maintenance', 'activity', 'in', 'accordance', 'with', 'station', 'procedure', 'ap', 'nuclear', 'safety', 'and', 'generation', 'risk', 'was', 'performance']",103,2017,2254,ML14041A484.txt,N,N
201,"['the', 'actual', 'incremental', 'core', 'damage', 'frequency', 'is', 'defined', 'as', 'the', 'actual', 'core', 'damage', 'frequency', 'less', 'the', 'core', 'damage', 'frequency', 'without', 'consideration', 'of', 'the', 'test', 'and', 'maintenance', 'events']",103,3302,3516,ML14041A484.txt,U,U
203,[],105,0,6,ML14041A484.txt,U,U
207,"['the', 'resulting', 'actual', 'core', 'damage', 'frequency', 'was']",107,486,550,ML14041A484.txt,U,U
209,"['the', 'inspectors', 'stated', 'that', 'the', 'duration', 'of', 'the', 'as', 'it', 'impacted', 'plant', 'was', 'no', 'more', 'than']",107,669,779,ML14041A484.txt,U,U
214,"['contrary', 'to', 'the', 'on', 'november', 'the', 'licensee', 'failed', 'to', 'assess', 'and', 'manage', 'the', 'increase', 'in', 'risk', 'that', 'may', 'result', 'from', 'the', 'proposed', 'maintenance']",107,1622,1786,ML14041A484.txt,U,N
220,"['åá', 'åá', 'åá', 'åá', 'åá']",111,0,10,ML14041A484.txt,U,U
226,"['findings', 'no', 'findings', 'were']",115,608,645,ML14041A484.txt,U,U
236,"['inspection', 'scope', 'the', 'inspectors', 'reviewed', 'seven', 'testing', 'activities', 'that', 'affected', 'risksignificant', 'or', 'åá', 'åá', 'åá', 'åá', 'åá', 'åá', 'åá', 'october', 'reactor', 'coolant', 'system', 'wide', 'range', 'pressure', 'channel', 'recorder', 'replacement', 'october', 'fuel', 'building', 'emergency', 'exhaust', 'fan', 'dust', 'seal', 'replacement', 'november', 'relug', 'cables', 'and', 'november', 'replace', 'essential', 'service', 'water', 'instrumentation', 'root', 'valve', 'november', 'emergency', 'diesel', 'generator', 'relay', 'functional', 'test', 'november', 'emergency', 'diesel', 'generator', 'starting', 'air', 'compressor', 'oil', 'change', 'november', 'control', 'rod', 'drive', 'mechanism', 'cooling', 'fan', 'breaker', 'meggar', 'and', 'baker', 'testing']",121,209,928,ML14041A484.txt,U,N
237,"['the', 'inspectors', 'reviewed', 'and', 'documents', 'for', 'the', 'sscs', 'and', 'the', 'maintenance', 'and', 'test']",123,0,132,ML14041A484.txt,U,U
239,"['these', 'activities', 'constitute', 'completion', 'of', 'seven', 'testing', 'inspection', 'as', 'defined', 'in', 'inspection', 'procedure']",123,387,527,ML14041A484.txt,U,U
245,"['this', 'verification', 'included', 'the', 'åá', 'åá', 'åá', 'monitoring', 'of', 'and', 'activities', 'verification', 'that', 'the', 'licensee', 'maintained', 'during', 'outage', 'activities', 'monitoring', 'of', 'and', 'startup', 'activities']",127,411,636,ML14041A484.txt,U,N
259,"['to', 'demonstrate', 'the', 'licensee', 'capability', 'to', 'implement', 'their', 'emergency']",137,0,85,ML14041A484.txt,U,U
261,[],139,0,6,ML14041A484.txt,U,U
274,"['the', 'specific', 'documents', 'reviewed', 'during', 'this', 'inspection', 'are', 'listed', 'in', 'the']",141,2281,2365,ML14041A484.txt,U,U
