,text,line,start_pos,end_pos,file,Y,Predicted_Values
43,"['inspection', 'manual', 'chapter', 'appendix', 'risk', 'assessment', 'and', 'risk', 'management', 'significance', 'determination', 'was', 'used', 'to', 'assess', 'the', 'significance', 'of', 'the', 'finding', 'because', 'the', 'finding', 'resulted', 'from', 'the', 'underestimate', 'of', 'plant']",31,2428,2686,ML14041A484.txt,T,O
45,"['the', 'inspectors', 'determined', 'that', 'the', 'finding', 'did', 'not', 'have', 'aspect', 'because', 'the', 'performance', 'deficiency', 'was', 'caused', 'by', 'an', 'inadequate', 'procedure', 'change', 'in', 'which', 'was', 'not', 'representative', 'of', 'current']",31,3002,3222,ML14041A484.txt,P,P
50,"['of', 'crews', 'failed', 'the', 'simulator', 'scenario', 'portion', 'of', 'the', 'operating', 'and', 'of', 'licensed', 'operators', 'either', 'failed', 'the', 'scenario', 'or', 'failed', 'the', 'job', 'performance', 'measure', 'portions', 'of', 'the', 'operating']",35,181,424,ML14041A484.txt,O,O
51,"['the', 'licensee', 'remediated', 'and', 'retested', 'the', 'staff', 'prior', 'to', 'returning', 'them', 'to', 'licensed']",35,424,514,ML14041A484.txt,O,O
57,"['this', 'finding', 'has', 'crosscutting', 'aspect', 'in', 'the', 'area', 'of', 'human', 'performance', 'associated', 'with', 'because', 'the', 'licensee', 'failed', 'to', 'ensure', 'that', 'personnel', 'were', 'adequately', 'trained', 'to', 'assure', 'nuclear', 'safety']",35,1803,2013,ML14041A484.txt,O,O
60,"['the', 'licensee', 'failed', 'to', 'determine', 'the', 'cause', 'of', 'the', 'train', 'class', 'air', 'conditioner', 'slug', 'flow', 'in', 'the', 'refrigerant', 'prior', 'to', 'experiencing', 'multiple', 'failures', 'and', 'plant']",35,2234,2420,ML14041A484.txt,T,P
61,"['the', 'licensee', 'eventually', 'determined', 'that', 'the', 'probable', 'cause', 'of', 'the', 'failures', 'was', 'the', 'failure', 'to', 'adequately', 'chemically', 'clean', 'the', 'system', 'following', 'the', 'failure', 'of', 'charcoal', 'in', 'that', 'some', 'charcoal', 'and', 'cleaning', 'agent', 'was', 'not', 'removed', 'following', 'the', 'work']",35,2420,2682,ML14041A484.txt,T,P
71,"['the', 'licensee', 'did', 'not', 'ensure', 'accurate', 'and', 'design', 'and', 'work', 'and', 'correct', 'labeling', 'of']",39,827,977,ML14041A484.txt,P,P
143,"['of', 'crews', 'failed', 'the', 'simulator', 'scenario', 'portion', 'of', 'the', 'operating', 'and', 'of', 'licensed', 'operators', 'either', 'failed', 'the', 'scenario', 'or', 'failed', 'the', 'job', 'performance', 'measure', 'portions', 'of', 'the', 'operating']",81,402,645,ML14041A484.txt,O,O
154,"['this', 'finding', 'was', 'of', 'very', 'low', 'safety', 'significance', 'because', 'the', 'finding', 'was', 'related', 'to', 'the', 'requalification', 'exam', 'did', 'not', 'result', 'in', 'failure', 'rate', 'of', 'greater', 'than', 'and', 'the', 'licensed', 'operators', 'were', 'remediated', 'prior', 'to', 'returning', 'to']",85,132,390,ML14041A484.txt,O,O
193,"['cracked', 'insulator', 'on', 'the', 'west', 'part', 'of', 'the', 'train', 'offsite', 'power', 'was', 'also', 'not', 'properly', 'being', 'assessed', 'for', 'plant']",103,1401,1539,ML14041A484.txt,T,O
