text,line,start_pos,end_pos,file,Y,Predicted_Values
"Specifically, the licensee failed to control the amount and location of transient combustibles in areas containing safety-related components.",35,1344,1485,ML11300A116.txt,O,O
"In addition, the licensee failed to identify the presence of transient combustibles through fire watches conducted as required by the fire protection program.",35,1485,1643,ML11300A116.txt,O,O
"Neither of the maintenance personnel who had performed the surveillance on August 26, 2011, was aware that corrosion had been previously identified because the corrosion was not discussed during their pre-job briefing.",49,2523,2741,ML11300A116.txt,O,T
Analysis: The inspectors determined that the licensee's failure to implement the diesel fire pump battery surveillance procedure was contrary to Technical Specifications and was a performance deficiency.,55,269,472,ML11300A116.txt,O,O
"(1) Failure to Ensure Operators Required for Safe Shutdown Were On-Site: Introduction: The inspectors identified a finding of very low safety significance (Green) and associated NCV of 10 CFR Part 50, Appendix R, Section III.L., for the licensee's failure to ensure that operators required for safe shutdown were on-site at all times.",59,0,334,ML11300A116.txt,O,O
The inspectors identified a finding of very low safety significance for failure to assure that the design basis for the dry cooling tower diesel-driven sump pumps was properly implemented.,39,6,194,ML071350662.txt,D,D
"In response to the inspectors' concerns, the licensee performed a seismic analysis and determined that the non-seismic piping would not fall during an operating basis earthquake.",161,1545,1723,ML071350662.txt,O,O
"The inspectors identified RG&E failed to provide and follow appropriate instructions for the calibration of the OTDT lead-lag circuit as required by 10 CFR 50, Appendix B, Criterion V, Instructions, Procedures, and Drawings.",156,52,276,ginn_2002005.txt,O,O
"On March 11, 2002, Action Report 2002-0454 was issued in response to the operators failure to identify that the 11B under voltage relays had tripped.",186,1492,1641,ginn_2002005.txt,T,T
An inspector-identified finding of very low safety significance was identified for the failure to maintain the collective dose As-Low-As-Is-Reasonably-Achievable (ALARA) for refuel floor non-cavity work that was conducted during the February 2006 refueling outage.,42,1067,1331,ML061290031.txt,T,O
"Inspection Scope The inspectors verified that modifications performed during increased risk significant configurations did not place the plant in an unsafe condition and that the performance capability of risk significant Structures, Systems and Components (SSCs) was not degraded through modifications by reviewing appropriate engineering change and implementation documents.",100,49,425,ML061290031.txt,O,O
Five of the issues had no pre-job brief performed due to being unplanned or resulting from decisions made in the field to take an action that led to the incident.,240,2054,2216,ML061290031.txt,O,O
"Specifically, questioning attitude was the most frequently identified flawed defense, with 11 occurrences, and self check/STAR was next with 7 occurrences.",242,478,633,ML061290031.txt,T,O
The second weakness identified by the inspectors was the tendency of workers to proceed with confidence even when uncertainties arose.,242,1274,1408,ML061290031.txt,T,O
"5 The team determined that based on the location of the spray pond pump house, transportation would be required for the fire brigade and that a reliable means of transportation had not been provided.",58,0,200,ML13182A476.txt,O,O
Analysis: The team determined that Exelon's failure to provide adequate procedural guidance for transporting the fire brigade and equipment to the spray pond pump house was a performance deficiency that was reasonably within Exelon's ability to foresee and prevent.,58,591,856,ML13182A476.txt,O,O
"Specifically, Exelon failed to meet the requirements of its Preventive Maintenance Program as documented in procedure ERAA-200.",80,1983,2110,ML13182A476.txt,O,O
"Specifically, the licensee failed to monitor the specified primary instrumentation for critical plant parameters.",37,2766,2879,ML12220A342.txt,O,O
"Further, the field support supervisor did not review the current status of items on the safety tagging record to be cleared before authorizing the clearance.",208,1194,1351,ML12220A342.txt,H,O
"Additionally, SOP 23.300, breaker operations, Section 6.5.2, detailed procedure (for installation of HK style ground truck) was not complied with by failing to place ""ground truck installed"" placards on the front compartment door of bus 65E following installation of a ground truck.",214,817,1099,ML12220A342.txt,P,P
The licensee entered the technical specification but did not adequately take samples once per 8 hours as required by Action 28.,31,1045,1172,wat_2000010.txt,O,O
"The finding has a cross-cutting aspect in the area of human performance because PSEG did not ensure that complete, accurate, and up to date design documentation, procedures, and work packages were available (H.2.c).",57,2080,2295,ML072260460.txt,O,T
(Section 4OA3) Cornerstone: Mitigating Systems åá Green.,57,2552,2607,ML072260460.txt,O,O
The finding has a cross-cutting aspect in the area of problem identification and resolution because PSEG did not take appropriate corrective actions to address safety issues and adverse trends in a timely manner commensurate with their safety significance (P.1.d).,59,2140,2404,ML072260460.txt,T,T
