,text,line,start_pos,end_pos,file,Y,Predicted_Values
5,"['box', 'ks', 'wolf', 'creek', 'generating', 'station', 'nrc', 'integrated', 'inspection', 'report']",7,126,245,ML14041A484.txt,U,U
17,"['license', 'inspection', 'report', 'supplemental', 'information', 'cc', 'electronic', 'distribution']",15,636,786,ML14041A484.txt,U,U
29,"['the', 'inspection', 'activities', 'described', 'in', 'this', 'report', 'were', 'performed', 'between', 'september', 'and', 'december', 'by', 'the', 'resident', 'inspectors', 'at', 'wolf', 'creek', 'generating', 'station', 'and', 'three', 'inspectors', 'from', 'the', 'region', 'iv']",31,264,494,ML14041A484.txt,U,U
41,"['the', 'inspectors', 'determined', 'that', 'failure', 'to', 'assess', 'risk', 'associated', 'with', 'an', 'emergent', 'maintenance', 'activity', 'in', 'accordance', 'with', 'station', 'procedure', 'ap', 'nuclear', 'safety', 'and', 'generation', 'risk', 'step', 'was', 'performance']",31,1993,2241,ML14041A484.txt,U,U
47,[],33,0,3,ML14041A484.txt,U,U
57,"['this', 'finding', 'has', 'crosscutting', 'aspect', 'in', 'the', 'area', 'of', 'human', 'performance', 'associated', 'with', 'because', 'the', 'licensee', 'failed', 'to', 'ensure', 'that', 'personnel', 'were', 'adequately', 'trained', 'to', 'assure', 'nuclear', 'safety']",35,1803,2013,ML14041A484.txt,N,N
61,"['the', 'licensee', 'eventually', 'determined', 'that', 'the', 'probable', 'cause', 'of', 'the', 'failures', 'was', 'the', 'failure', 'to', 'adequately', 'chemically', 'clean', 'the', 'system', 'following', 'the', 'failure', 'of', 'charcoal', 'in', 'that', 'some', 'charcoal', 'and', 'cleaning', 'agent', 'was', 'not', 'removed', 'following', 'the', 'work']",35,2420,2682,ML14041A484.txt,N,N
63,"['this', 'issue', 'was', 'entered', 'into', 'the', 'corrective', 'action', 'program', 'as', 'condition', 'report']",35,2773,2857,ML14041A484.txt,U,U
64,"['failure', 'to', 'preclude', 'repetitive', 'failures', 'of', 'the', 'train', 'class', 'air', 'significant', 'condition', 'adverse', 'to', 'is', 'performance']",35,2857,3010,ML14041A484.txt,N,U
69,"['using', 'the', 'inspection', 'manual', 'chapter', 'appendix', 'exhibit', 'systems', 'screening', 'the', 'inspectors', 'determined', 'the', 'finding', 'was', 'of', 'very', 'low', 'safety', 'significance', 'because', 'the', 'finding', 'did', 'not', 'represent', 'an', 'actual', 'loss', 'of', 'function', 'of', 'at', 'least', 'single', 'train', 'for', 'greater', 'than', 'its', 'technical', 'specification', 'allowed', 'outage', 'time', 'and', 'the', 'finding', 'did', 'not', 'represent', 'an', 'actual', 'loss', 'of', 'function', 'of', 'one', 'or', 'more', 'nontechnical', 'specification', 'trains', 'of', 'equipment', 'designated', 'as', 'high', 'safety', 'significant', 'in', 'accordance', 'with', 'the', 'maintenance', 'rule', 'program', 'for', 'greater', 'than']",39,119,711,ML14041A484.txt,U,N
70,"['the', 'inspectors', 'determined', 'that', 'the', 'cause', 'of', 'the', 'finding', 'had', 'aspect', 'in', 'the', 'area', 'of', 'human']",39,711,827,ML14041A484.txt,N,N
72,"['specifically', 'applicable', 'housekeeping', 'requirements', 'detailed', 'in', 'station', 'procedure', 'system', 'were', 'not', 'met', 'during', 'the', 'chemical', 'cleaning', 'of', 'system', 'piping', 'on', 'may']",39,977,1190,ML14041A484.txt,N,U
73,[],39,1190,1209,ML14041A484.txt,U,U
78,"['report', 'details']",43,379,396,ML14041A484.txt,U,U
82,"['specifically', 'the', 'inspectors', 'reviewed', 'final', 'installation', 'and', 'closeout', 'of', 'plant', 'modification', 'to', 'add', 'station', 'blackout', 'diesel']",43,1012,1147,ML14041A484.txt,U,U
85,"['these', 'activities', 'constituted', 'one', 'sample', 'of', 'readiness', 'for', 'seasonal', 'extreme', 'weather', 'of', 'and', 'power', 'as', 'defined', 'in', 'inspection', 'procedure']",43,1431,1603,ML14041A484.txt,U,U
87,"['equipment', 'alignment']",43,1640,1681,ML14041A484.txt,U,U
88,"['partial', 'walkdown', 'inspection', 'scope', 'the', 'inspectors', 'performed', 'partial', 'system', 'of', 'the', 'following']",43,1681,1808,ML14041A484.txt,U,U
89,[],45,0,3,ML14041A484.txt,U,U
