,text,line,start_pos,end_pos,file,Y,Predicted_Values
37,"['the', 'inspectors', 'identified', 'green', 'violation', 'of', 'cfr', 'for', 'the', 'failure', 'to', 'assess', 'risk', 'associated', 'with', 'an', 'emergent', 'maintenance', 'activity', 'performed', 'on', 'one', 'of', 'the', 'offsite', 'power', 'circuit', 'components', 'inside', 'the', 'wolf', 'creek']",31,1312,1558,ML14041A484.txt,T,O
41,"['the', 'inspectors', 'determined', 'that', 'failure', 'to', 'assess', 'risk', 'associated', 'with', 'an', 'emergent', 'maintenance', 'activity', 'in', 'accordance', 'with', 'station', 'procedure', 'ap', 'nuclear', 'safety', 'and', 'generation', 'risk', 'step', 'was', 'performance']",31,1993,2241,ML14041A484.txt,P,P
54,"['using', 'the', 'inspection', 'manual', 'chapter', 'appendix', 'the', 'inspector', 'determined', 'that', 'the', 'finding', 'was', 'more', 'than', 'minor', 'because', 'the', 'performance', 'deficiency', 'was', 'associated', 'with', 'the', 'mitigating', 'systems', 'cornerstone', 'attribute', 'of', 'human', 'and', 'affected', 'the', 'cornerstone', 'objective', 'of', 'ensuring', 'the', 'and', 'capability', 'of', 'systems', 'that', 'respond', 'to', 'initiating', 'events', 'to', 'prevent', 'undesirable']",35,927,1362,ML14041A484.txt,H,O
71,"['the', 'licensee', 'did', 'not', 'ensure', 'accurate', 'and', 'design', 'and', 'work', 'and', 'correct', 'labeling', 'of']",39,827,977,ML14041A484.txt,O,O
72,"['specifically', 'applicable', 'housekeeping', 'requirements', 'detailed', 'in', 'station', 'procedure', 'system', 'were', 'not', 'met', 'during', 'the', 'chemical', 'cleaning', 'of', 'system', 'piping', 'on', 'may']",39,977,1190,ML14041A484.txt,T,P
194,"['realizing', 'potential', 'the', 'inspectors', 'brought', 'the', 'oversight', 'to', 'the', 'attention', 'of', 'licensee', 'who', 'immediately', 'directed', 'an', 'assessment', 'of', 'risk', 'and', 'wrote', 'condition', 'report', 'to', 'ensure', 'capture', 'of', 'emergent', 'switchyard', 'degraded', 'conditions', 'into', 'their', 'online', 'risk', 'assessment', 'program', 'as', 'required', 'by', 'cfr', 'and', 'station', 'procedure', 'ap']",103,1539,1896,ML14041A484.txt,O,O
214,"['contrary', 'to', 'the', 'on', 'november', 'the', 'licensee', 'failed', 'to', 'assess', 'and', 'manage', 'the', 'increase', 'in', 'risk', 'that', 'may', 'result', 'from', 'the', 'proposed', 'maintenance']",107,1622,1786,ML14041A484.txt,T,O
294,"['the', 'licensee', 'determined', 'this', 'deficiency', 'existed', 'in', 'edcp', 'version', 'which', 'was', 'in', 'use', 'on', 'november', 'and', 'continued', 'to', 'exist', 'in', 'edcp', 'version', 'implemented', 'october']",145,2563,2744,ML14041A484.txt,D,O
369,"['findings', 'failure', 'to', 'preclude', 'repetition', 'of', 'significant', 'condition', 'adverse', 'to', 'quality', 'affecting', 'the', 'train', 'class', 'air', 'conditioning', 'unit']",183,418,570,ML14041A484.txt,T,O
393,"['early', 'stages', 'of', 'the', 'root', 'cause', 'analysis', 'also', 'focused', 'almost', 'exclusively', 'on', 'the', 'and', 'an', 'extensive', 'hardware', 'failure', 'analysis', 'was', 'which', 'confirmed', 'the', 'slugging', 'but', 'could', 'not', 'identify', 'the']",187,1817,2028,ML14041A484.txt,D,P
