,Unnamed: 0,text,line,start_pos,end_pos,file,Y,Predicted_Values
1940,268,"['the', 'inspectors', 'determined', 'that', 'the', 'cause', 'of', 'this', 'finding', 'was', 'related', 'to', 'the', 'work', 'practices', 'component', 'of', 'the', 'human', 'performance', 'area', 'due', 'to', 'human', 'error', 'prevention', 'techniques']",162,2116,2329,ML12027A131.txt,T,O
2543,87,"['during', 'system', 'walkdown', 'with', 'licensee', 'the', 'drain', 'was', 'found', 'clogged', 'and', 'the', 'inspectors', 'noted', 'the', 'individual', 'had', 'not', 'planned', 'to', 'enter', 'the', 'issue', 'into', 'the', 'cap', 'enclosure']",43,3213,3393,ML11244A041.txt,H,O
2548,92,"['it', 'also', 'defined', 'an', 'adverse', 'trend', 'as', 'negative', 'change', 'in', 'performance', 'that', 'and', 'judgment', 'indicated', 'an', 'adverse', 'impact', 'on', 'safety', 'or', 'or', 'because', 'relative', 'large', 'number', 'of', 'performance', 'problems', 'pointed', 'to', 'more', 'significant', 'future']",45,594,861,ML11244A041.txt,O,O
2583,127,"['the', 'operability', 'section', 'did', 'not', 'address', 'the', 'pitting', 'and', 'corrosion', 'of', 'sw']",53,2487,2566,ML11244A041.txt,O,O
2597,141,"['the', 'condition', 'was', 'the', 'existence', 'of', 'the', 'ground', 'and', 'was', 'not', 'addressed', 'in', 'the', 'operability']",61,319,429,ML11244A041.txt,P,O
2635,179,"['the', 'ar', 'actions', 'did', 'not', 'try', 'to', 'determine', 'why', 'the', 'labels', 'were', 'not', 'corrected', 'as', 'part', 'of', 'the', 'recent', 'modification', 'or', 'determine', 'the', 'extent', 'of']",67,1524,1670,ML11244A041.txt,O,O
2664,208,"['the', 'rce', 'concluded', 'that', 'the', 'root', 'cause', 'was', 'inadequate', 'evaluation', 'of', 'nrc', 'ris', 'of', 'hazard']",69,2359,2484,ML11244A041.txt,O,O
2858,46,"['contrary', 'to', 'the', 'pseg', 'nuclear', 'llc', 'determined', 'that', 'conformance', 'with', 'the', 'code', 'requirement', 'for', 'inspection', 'of', 'class', 'welds', 'and', 'class', 'welds', 'at', 'salem', 'nuclear', 'generating', 'unit', 'during', 'isi', 'interval', 'november', 'was', 'the', 'basis', 'for', 'the', 'termination', 'was', 'not', 'demonstrated', 'to', 'the', 'satisfaction', 'of', 'the', 'commission', 'within', 'months', 'after', 'the', 'expiration', 'of', 'isi', 'interval', 'while', 'pseg', 'notified', 'the', 'commission', 'of', 'its', 'determination', 'on', 'march', 'months', 'after', 'the', 'end', 'of', 'isi', 'interval', 'it', 'did', 'not', 'submit', 'the', 'information', 'necessary', 'to', 'support', 'the']",34,1091,1726,ML072260460.txt,O,T
4229,1417,"['the', 'finding', 'has', 'aspect', 'in', 'the', 'area', 'of', 'human', 'performance', 'because', 'pseg', 'personnel', 'did', 'not', 'follow', 'plant', 'procedures']",61,254,389,ML072260460.txt,T,T
4477,1665,"['the', 'inspectors', 'determined', 'that', 'inadequate', 'configuration', 'control', 'was', 'performance', 'deficiency', 'that', 'resulted', 'in', 'six', 'hours', 'of', 'inoperability', 'for', 'the']",105,2122,2281,ML072260460.txt,T,O
