,text,line,start_pos,end_pos,file,Y,Predicted_Values
799,"['based', 'on', 'review', 'of', 'the', 'actions', 'implemented', 'related', 'to', 'the', 'reactor', 'vessel', 'internals', 'program', 'aging', 'management', 'the', 'team', 'could', 'not', 'conclude', 'that', 'the', 'licensee', 'implemented', 'actions', 'that', 'would', 'effectively', 'manage', 'the', 'effects', 'of', 'aging', 'during', 'the', 'period', 'of', 'extended']",82,1791,2065,ML14087A338.txt,O,O
2544,"['since', 'it', 'had', 'been', 'previously', 'even', 'though', 'newly', 'installed', 'equipment', 'may', 'have', 'affected', 'the', 'corrective', 'actions', 'or', 'priority', 'of', 'the', 'initial']",45,0,151,ML11244A041.txt,H,O
2581,"['the', 'inspectors', 'found', 'number', 'of', 'examples', 'where', 'operability', 'determinations', 'did', 'not', 'address', 'the', 'degraded', 'or', 'condition', 'described', 'in', 'the', 'ar', 'when', 'concluding']",53,2045,2225,ML11244A041.txt,O,O
4197,"['contrary', 'to', 'vendor', 'recommendations', 'that', 'each', 'sight', 'glass', 'be', 'installed', 'and', 'torqued', 'in', 'place', 'only', 'one', 'maintenance', 'technicians', 'had', 'the', 'sight', 'glass', 'on', 'the', 'demineralizer', 'following', 'vessel']",57,1302,1515,ML072260460.txt,T,H
4229,"['the', 'finding', 'has', 'aspect', 'in', 'the', 'area', 'of', 'human', 'performance', 'because', 'pseg', 'personnel', 'did', 'not', 'follow', 'plant', 'procedures']",61,254,389,ML072260460.txt,T,O
4426,"['step', 'inspect', 'oil', 'filter', 'lubricating', 'oil', 'tubing', 'and', 'replace', 'the', 'tubing', 'when', 'was', 'marked', 'as', 'not']",99,1207,1327,ML072260460.txt,T,O
4442,"['contrary', 'to', 'the', 'pseg', 'personnel', 'did', 'not', 'accomplish', 'the', 'cac', 'maintenance', 'in', 'accordance', 'with', 'prescribed']",101,450,571,ML072260460.txt,T,O
4481,"['the', 'finding', 'has', 'aspect', 'in', 'the', 'area', 'of', 'human', 'performance', 'because', 'pseg', 'personnel', 'did', 'not', 'use', 'human', 'error', 'prevention', 'techniques']",105,3086,3235,ML072260460.txt,T,T
4538,"['the', 'inspectors', 'determined', 'that', 'this', 'failure', 'to', 'adequately', 'implement', 'procedural', 'guidance', 'was', 'performance']",117,1465,1582,ML072260460.txt,T,O
4542,"['the', 'finding', 'has', 'aspect', 'in', 'the', 'area', 'of', 'human', 'performance', 'because', 'pseg', 'personnel', 'did', 'not', 'follow', 'plant', 'procedures']",117,2424,2559,ML072260460.txt,T,O
