,text,line,start_pos,end_pos,file,Y,Predicted_Values
38,"['wolf', 'creek', 'arranged', 'for', 'the', 'transmission', 'system', 'maintenance', 'companies', 'to', 'recharge', 'gas', 'in', 'breaker', 'actively', 'feeding', 'the', 'train', 'class', 'distribution', 'without', 'performing', 'risk', 'management', 'actions', 'to', 'verify', 'the', 'readiness', 'of', 'onsite', 'power']",31,1558,1832,ML14041A484.txt,T,P
50,"['of', 'crews', 'failed', 'the', 'simulator', 'scenario', 'portion', 'of', 'the', 'operating', 'and', 'of', 'licensed', 'operators', 'either', 'failed', 'the', 'scenario', 'or', 'failed', 'the', 'job', 'performance', 'measure', 'portions', 'of', 'the', 'operating']",35,181,424,ML14041A484.txt,O,O
176,"['the', 'inspectors', 'identified', 'green', 'violation', 'of', 'cfr', 'for', 'the', 'failure', 'to', 'assess', 'risk', 'associated', 'with', 'an', 'emergent', 'maintenance', 'activity', 'performed', 'on', 'one', 'of', 'the', 'offsite', 'power', 'circuit', 'components', 'inside', 'the', 'wolf', 'creek']",99,573,819,ML14041A484.txt,T,T
181,"['the', 'inspectors', 'noted', 'that', 'throughout', 'the', 'identification', 'and', 'repair', 'wolf', 'creek', 'did', 'not', 'perform', 'any', 'risk', 'assessment', 'to', 'determine', 'the', 'compatibility', 'of', 'current']",99,1314,1484,ML14041A484.txt,T,P
197,"['the', 'inspectors', 'determined', 'that', 'failure', 'to', 'assess', 'risk', 'associated', 'with', 'an', 'emergent', 'maintenance', 'activity', 'in', 'accordance', 'with', 'station', 'procedure', 'ap', 'nuclear', 'safety', 'and', 'generation', 'risk', 'was', 'performance']",103,2017,2254,ML14041A484.txt,T,P
285,"['the', 'nrc', 'observed', 'that', 'the', 'licensee', 'dose', 'assessor', 'participating', 'in', 'the', 'november', 'emergency', 'preparedness', 'exercise', 'was', 'knowledgeable', 'about', 'an', 'inaccuracy', 'in', 'the', 'electronic', 'dose', 'calculation', 'program', 'and', 'subsequently', 'reviewed', 'condition', 'report', 'potential', 'incorrect', 'edcp', 'dose', 'dated', 'january']",145,890,1226,ML14041A484.txt,D,P
396,"['the', 'licensee', 'concluded', 'that', 'compressor', 'failure', 'was', 'approaching', 'and', 'it', 'could', 'no', 'longer', 'be', 'relied', 'upon', 'to', 'meet', 'its', 'day', 'mission']",187,2218,2351,ML14041A484.txt,D,P
801,"['the', 'team', 'determined', 'that', 'the', 'licensee', 'had', 'not', 'met', 'commitment', 'to', 'develop', 'reactor', 'vessel', 'internals', 'program', 'aging', 'management', 'program', 'as', 'described', 'in', 'letter', 'to', 'attachment', 'arkansas', 'nuclear', 'unit']",82,2258,2485,ML14087A338.txt,P,P
894,"['failure', 'to', 'reassess', 'the', 'effects', 'of', 'aging']",96,2276,2330,ML14087A338.txt,T,P
945,"['the', 'team', 'determined', 'that', 'the', 'licensee', 'had', 'not', 'completed', 'their', 'commitment', 'to', 'perform', 'inspection', 'of', 'single', 'reactor', 'coolant', 'pump', 'casing', 'and', 'the', 'licensee', 'had', 'not', 'inspected', 'the', 'pump', 'cover', 'because', 'of', 'the', 'potential', 'for', 'high', 'radiation']",104,1333,1603,ML14087A338.txt,O,T
