,Unnamed: 0,text,line,start_pos,end_pos,file,Y,Predicted_Values
72,72,"['specifically', 'applicable', 'housekeeping', 'requirements', 'detailed', 'in', 'station', 'procedure', 'system', 'were', 'not', 'met', 'during', 'the', 'chemical', 'cleaning', 'of', 'system', 'piping', 'on', 'may']",39,977,1190,ML14041A484.txt,P,O
149,149,"['in', 'accordance', 'with', 'inspection', 'procedure', 'each', 'of', 'the', 'following', 'was', 'performance', 'deficiency', 'against', 'expected', 'licensed', 'operator', 'knowledge', 'and', 'greater', 'than', 'percent', 'of', 'the', 'crews', 'failing', 'their', 'scenarios', 'and', 'greater', 'than', 'percent', 'of', 'the', 'licensed', 'operator', 'staff', 'failing', 'their', 'operating']",81,1073,1390,ML14041A484.txt,O,O
660,49,"['the', 'licensee', 'did', 'not', 'implement', 'process', 'of', 'and', 'executing', 'work', 'activities', 'such', 'that', 'nuclear', 'safety', 'was', 'the', 'overriding', 'priority']",40,2997,3175,ML14087A338.txt,O,O
1762,90,"['procedural', 'place', 'keeping', 'techniques', 'were', 'less', 'than']",99,2423,2497,ML12027A131.txt,P,O
1764,92,"['the', 'licensee', 'failed', 'to', 'ensure', 'during', 'safe', 'unit', 'and', 'unit', 'reactor', 'coolant', 'process', 'variables', 'would', 'be', 'maintained', 'within', 'those', 'predicted', 'for', 'loss', 'of', 'normal', 'ac']",99,2784,2991,ML12027A131.txt,O,O
1935,263,"['operation', 'of', 'the', 'unit', 'tdafw', 'pump', 'with', 'the', 'pump', 'suction', 'valves', 'closed', 'is', 'performance', 'deficiency', 'because', 'the', 'operator', 'did', 'not', 'follow', 'the', 'written', 'instructions', 'in', 'the']",162,1232,1419,ML12027A131.txt,H,O
2469,13,"['the', 'inspection', 'did', 'identify', 'weaknesses', 'in', 'the', 'identification', 'of', 'trends', 'and', 'performance', 'deficiencies', 'pertaining', 'to', 'the', 'initiation', 'and', 'quality', 'of', 'operability', 'determinations', 'and', 'reportability']",9,1313,1523,ML11244A041.txt,O,O
2582,126,"['some', 'of', 'these', 'examples', 'ar', 'pitting', 'and', 'corrosion', 'on', 'sw', 'piping', 'between', 'and', 'the', 'operability', 'section', 'stated', 'that', 'system', 'is', 'not', 'in', 'service', 'but', 'this', 'issue', 'needs', 'resolution', 'prior', 'to', 'relying', 'upon', 'eh']",53,2225,2487,ML11244A041.txt,O,O
2586,130,"['the', 'operability', 'section', 'did', 'not', 'address', 'the', 'door', 'being', 'held', 'which', 'impacted', 'the', 'operability', 'of', 'the', 'door', 'as', 'helb', 'and', 'fire']",53,2867,3003,ML11244A041.txt,P,O
2664,208,"['the', 'rce', 'concluded', 'that', 'the', 'root', 'cause', 'was', 'inadequate', 'evaluation', 'of', 'nrc', 'ris', 'of', 'hazard']",69,2359,2484,ML11244A041.txt,O,O
4215,1403,"['ncv', 'for', 'failure', 'to', 'comply', 'with', 'appendix', 'criterion', 'and', 'was', 'identified', 'when', 'operators', 'discovered', 'significant', 'leak', 'in', 'the', 'copper', 'oil', 'filter', 'tubing', 'on', 'the', 'cac', 'on', 'may', 'that', 'made', 'the', 'cac']",59,1179,1455,ML072260460.txt,O,O
4222,1410,"['corrective', 'actions', 'to', 'prevent', 'cac', 'tubing', 'failures', 'were', 'ineffective', 'because', 'the', 'visual', 'inspections', 'required', 'by', 'the', 'procedure', 'revision', 'incorporated', 'after', 'previous', 'cac', 'oil', 'tubing', 'may', 'not', 'have', 'identified', 'degraded', 'copper', 'tubing', 'in', 'time', 'to', 'prevent', 'tubing']",59,2404,2685,ML072260460.txt,O,O
4433,1621,"['incorrectly', 'performed', 'maintenance', 'degraded', 'both', 'availability', 'and', 'reliability', 'of', 'the']",99,2149,2254,ML072260460.txt,O,O
4538,1726,"['the', 'inspectors', 'determined', 'that', 'this', 'failure', 'to', 'adequately', 'implement', 'procedural', 'guidance', 'was', 'performance']",117,1465,1582,ML072260460.txt,T,O
4710,1898,"['pseg', 'believes', 'that', 'the', 'expectations', 'for', 'proper', 'use', 'of', 'procedures', 'is', 'but', 'compliance', 'is', 'not', 'adequate', 'because', 'expectations', 'are', 'not', 'reinforced', 'through', 'consistent', 'accountability', 'of']",147,654,849,ML072260460.txt,O,O
4748,1936,"['the', 'cause', 'of', 'this', 'event', 'was', 'attributed', 'to', 'the', 'failure', 'of', 'the', 'operating', 'crew', 'to', 'establish', 'clear', 'termination', 'criteria', 'for', 'stopping', 'the', 'cooldown', 'based', 'on', 'low', 'steam', 'generator', 'levels', 'and', 'the', 'lack', 'of', 'clear', 'termination', 'criteria', 'guidance', 'in', 'the', 'procedure', 'for', 'maintaining', 'steam', 'generator', 'levels', 'during']",149,2177,2481,ML072260460.txt,P,O
5088,50,"['the', 'licensee', 'entered', 'the', 'technical', 'specification', 'but', 'did', 'not', 'adequately', 'take', 'samples', 'once', 'per', 'hours', 'as', 'required', 'by', 'action']",31,1045,1172,wat_2000010.txt,O,O
5089,51,"['the', 'chosen', 'sample', 'allowed', 'by', 'was', 'located', 'on', 'dead', 'leg', 'and', 'did', 'not', 'adequately', 'compensate', 'for', 'the', 'inoperable', 'radiation']",31,1172,1316,wat_2000010.txt,O,O
5356,40,"['this', 'finding', 'had', 'aspect', 'in', 'the', 'area', 'of', 'human', 'performance', 'within', 'the', 'decision', 'making', 'component', 'because', 'the', 'licensee', 'did', 'not', 'properly', 'communicate', 'and', 'reinforce', 'expectations', 'related', 'to', 'the', 'fire', 'protection', 'program', 'implementation', 'concerning', 'transient', 'combustibles', 'to', 'personnel', 'performing', 'maintenance', 'work', 'and', 'fire']",23,2113,2446,ML11300A116.txt,O,O
5358,42,"['the', 'inspectors', 'identified', 'severity', 'level', 'ncv', 'of', 'license', 'conditions', 'and', 'for', 'units', 'and', 'and', 'an', 'associated', 'finding', 'of', 'very', 'low', 'safety', 'significance', 'for', 'the', 'failure', 'to', 'obtain', 'nrc', 'approval', 'prior', 'to', 'making', 'which', 'was', 'adverse', 'to', 'safe']",23,2547,2818,ML11300A116.txt,O,O
5359,43,"['the', 'licensee', 'made', 'change', 'to', 'administrative', 'technical', 'which', 'permitted', 'suppression', 'system', 'to', 'be', 'inoperable', 'without', 'compensatory', 'thereby', 'degrading', 'the', 'ability', 'to', 'suppress', 'fire', 'and', 'challenging', 'the', 'ability', 'to', 'achieve', 'and', 'maintain', 'safe', 'shutdown', 'in', 'the', 'event', 'of']",23,2818,3124,ML11300A116.txt,O,O
5447,131,"['in', 'the', 'licensee', 'failed', 'to', 'identify', 'the', 'presence', 'of', 'transient', 'combustibles', 'through', 'fire', 'watches', 'conducted', 'as', 'required', 'by', 'the', 'fire', 'protection']",39,2755,2913,ML11300A116.txt,O,O
5459,143,"['the', 'licensee', 'did', 'not', 'properly', 'communicate', 'and', 'reinforce', 'expectations', 'related', 'to', 'the', 'fire', 'protection', 'program', 'implementation', 'concerning', 'transient', 'combustibles', 'to', 'personnel', 'performing', 'maintenance', 'work', 'and', 'fire', 'in', 'timely']",45,1192,1441,ML11300A116.txt,O,O
5466,150,"['contrary', 'to', 'the', 'on', 'july', 'and', 'august', 'the', 'inspectors', 'identified', 'several', 'instances', 'of', 'transient', 'combustibles', 'stored', 'near', 'components', 'which', 'were', 'not', 'in', 'accordance', 'with', 'procedure']",45,2439,2660,ML11300A116.txt,P,O
5501,185,"['in', 'there', 'was', 'discussion', 'that', 'the', 'lighting', 'for', 'the', 'task', 'was', 'not']",49,1402,1483,ML11300A116.txt,O,O
5509,193,"['neither', 'of', 'the', 'maintenance', 'personnel', 'who', 'had', 'performed', 'the', 'surveillance', 'on', 'august', 'was', 'aware', 'that', 'corrosion', 'had', 'been', 'previously', 'identified', 'because', 'the', 'corrosion', 'was', 'not', 'discussed', 'during', 'their']",49,2523,2741,ML11300A116.txt,O,O
5667,351,"['the', 'licensee', 'made', 'change', 'to', 'administrative', 'technical', 'requirements', 'which', 'permitted', 'suppression', 'system', 'to', 'be', 'inoperable', 'without', 'compensatory', 'thereby', 'degrading', 'the', 'ability', 'to', 'suppress', 'fire', 'and', 'challenging', 'the', 'ability', 'to', 'achieve', 'and', 'maintain', 'safe', 'shutdown', 'in', 'the', 'event', 'of']",95,362,667,ML11300A116.txt,O,O
6039,232,"['the', 'failure', 'to', 'establish', 'preventive', 'maintenance', 'strategy', 'for', 'safe', 'shutdown', 'switches', 'was', 'performance', 'deficiency', 'that', 'was', 'reasonably', 'within', 'ability', 'to', 'foresee', 'and']",80,1772,1983,ML13182A476.txt,O,O
6618,176,"['the', 'failure', 'to', 'translate', 'the', 'design', 'basis', 'into', 'drawings', 'and', 'the', 'plant', 'configuration', 'is', 'performance']",93,978,1090,ML071350662.txt,D,O
6729,287,"['the', 'inspectors', 'identified', 'that', 'the', 'licensee', 'had', 'inappropriately', 'located', 'the', 'train', 'ultimate', 'heat', 'sink', 'sump', 'pumps', 'near', 'qualified']",161,790,956,ML071350662.txt,O,O
