,text,line,start_pos,end_pos,file,Y,Predicted_Values
64,"['failure', 'to', 'preclude', 'repetitive', 'failures', 'of', 'the', 'train', 'class', 'air', 'significant', 'condition', 'adverse', 'to', 'is', 'performance']",35,2857,3010,ML14041A484.txt,O,O
408,"['the', 'root', 'cause', 'analysis', 'also', 'determined', 'that', 'the', 'work', 'performed', 'under', 'work', 'order', 'was', 'not', 'in', 'accordance', 'with', 'station', 'procedural']",191,214,369,ML14041A484.txt,T,O
410,"['because', 'the', 'licensee', 'was', 'unable', 'to', 'clearly', 'identify', 'the', 'root', 'the', 'final', 'report', 'was', 'in', 'fact', 'documented', 'the', 'most', 'probable', 'cause', 'based', 'on', 'the', 'analyses']",191,621,785,ML14041A484.txt,O,O
461,"['the', 'cause', 'of', 'the', 'need', 'for', 'this', 'noed', 'was', 'determined', 'to', 'be', 'inadequate', 'cleaning', 'of', 'the', 'chiller', 'internals', 'following', 'loss', 'of', 'control', 'over', 'the', 'charcoal', 'from']",199,2276,2436,ML14041A484.txt,T,O
655,"['the', 'team', 'determined', 'that', 'the', 'failure', 'to', 'assess', 'previous', 'indications', 'of', 'concrete', 'as', 'specified', 'in', 'plant', 'was', 'performance']",40,1916,2072,ML14087A338.txt,O,O
722,"['the', 'team', 'confirmed', 'that', 'the', 'licensee', 'had', 'not', 'committed', 'to', 'developing', 'an', 'aging', 'management', 'program', 'for', 'their']",70,0,144,ML14087A338.txt,O,O
800,"['because', 'the', 'licensee', 'had', 'not', 'completed', 'all', 'their', 'planned', 'actions', 'related', 'to', 'this', 'aging', 'management', 'the', 'team', 'determined', 'that', 'they', 'could', 'not', 'close', 'commitment', 'during', 'this']",82,2065,2258,ML14087A338.txt,O,O
914,"['the', 'team', 'determined', 'that', 'the', 'licensee', 'did', 'not', 'follow', 'the', 'requirements', 'in', 'procedure', 'to', 'evaluate', 'these', 'cracks', 'during', 'subsequent', 'inspection', 'in', 'order', 'to', 'characterize', 'any', 'changes', 'or', 'determine', 'the', 'cracks', 'had', 'not']",100,2067,2304,ML14087A338.txt,O,O
925,"['the', 'licensee', 'did', 'not', 'implement', 'process', 'of', 'and', 'executing', 'work', 'activities', 'such', 'that', 'nuclear', 'safety', 'was', 'the', 'overriding', 'priority']",102,429,585,ML14087A338.txt,O,O
1137,"['the', 'team', 'determined', 'that', 'the', 'compliance', 'review', 'did', 'not', 'have', 'any', 'fire', 'protection', 'program', 'commitments', 'that', 'would', 'prevent', 'the']",134,2399,2540,ML14087A338.txt,O,O
1247,"['the', 'licensee', 'verified', 'that', 'years', 'of', 'oil', 'analysis', 'results', 'did', 'not', 'identify', 'the', 'total', 'acid', 'number', 'as', 'the', 'basis', 'for', 'an', 'oil']",144,2778,2908,ML14087A338.txt,O,O
1728,"['leakage', 'could', 'exceed', 'both', 'the', 'administrative', 'and', 'operability', 'limits', 'established', 'by', 'design', 'basis', 'without', 'the', 'test', 'detecting', 'the', 'actual', 'leak']",42,0,156,ML061290031.txt,O,O
