,text,line,start_pos,end_pos,file,Y,Predicted_Values
71,"['the', 'licensee', 'did', 'not', 'ensure', 'accurate', 'and', 'design', 'and', 'work', 'and', 'correct', 'labeling', 'of']",39,827,977,ML14041A484.txt,P,P
147,"['the', 'licensee', 'remediated', 'and', 'retested', 'the', 'staff', 'prior', 'to', 'returning', 'them', 'to', 'licensed']",81,974,1064,ML14041A484.txt,O,P
199,"['according', 'to', 'inspection', 'manual', 'chapter', 'appendix', 'risk', 'assessment', 'and', 'risk', 'management', 'significance', 'determination', 'greater', 'than', 'minor', 'inspection', 'finding', 'that', 'results', 'from', 'the', 'underestimate', 'of', 'plant', 'risk', 'should', 'be', 'evaluated', 'using', 'the', 'methods', 'in', 'appendix', 'appendix', 'step', 'evaluation', 'of', 'states', 'that', 'the', 'regional', 'senior', 'reactor', 'analyst', 'may', 'independently', 'evaluate', 'the', 'risk', 'if', 'there', 'are', 'specific', 'concerns', 'regarding', 'the', 'adequacy', 'of', 'the', 'assessment', 'such', 'as', 'the', 'quantitative', 'risk', 'assessment', 'contained']",103,2441,3016,ML14041A484.txt,T,P
211,"['the', 'inspectors', 'determined', 'that', 'the', 'finding', 'did', 'not', 'have', 'aspect', 'because', 'the', 'performance', 'deficiency', 'was', 'caused', 'by', 'an', 'inadequate', 'procedure', 'change', 'in', 'which', 'was', 'not', 'representative', 'of', 'current']",107,1198,1418,ML14041A484.txt,P,P
214,"['contrary', 'to', 'the', 'on', 'november', 'the', 'licensee', 'failed', 'to', 'assess', 'and', 'manage', 'the', 'increase', 'in', 'risk', 'that', 'may', 'result', 'from', 'the', 'proposed', 'maintenance']",107,1622,1786,ML14041A484.txt,T,P
285,"['the', 'nrc', 'observed', 'that', 'the', 'licensee', 'dose', 'assessor', 'participating', 'in', 'the', 'november', 'emergency', 'preparedness', 'exercise', 'was', 'knowledgeable', 'about', 'an', 'inaccuracy', 'in', 'the', 'electronic', 'dose', 'calculation', 'program', 'and', 'subsequently', 'reviewed', 'condition', 'report', 'potential', 'incorrect', 'edcp', 'dose', 'dated', 'january']",145,890,1226,ML14041A484.txt,D,P
294,"['the', 'licensee', 'determined', 'this', 'deficiency', 'existed', 'in', 'edcp', 'version', 'which', 'was', 'in', 'use', 'on', 'november', 'and', 'continued', 'to', 'exist', 'in', 'edcp', 'version', 'implemented', 'october']",145,2563,2744,ML14041A484.txt,D,P
393,"['early', 'stages', 'of', 'the', 'root', 'cause', 'analysis', 'also', 'focused', 'almost', 'exclusively', 'on', 'the', 'and', 'an', 'extensive', 'hardware', 'failure', 'analysis', 'was', 'which', 'confirmed', 'the', 'slugging', 'but', 'could', 'not', 'identify', 'the']",187,1817,2028,ML14041A484.txt,D,P
396,"['the', 'licensee', 'concluded', 'that', 'compressor', 'failure', 'was', 'approaching', 'and', 'it', 'could', 'no', 'longer', 'be', 'relied', 'upon', 'to', 'meet', 'its', 'day', 'mission']",187,2218,2351,ML14041A484.txt,D,P
659,"['the', 'team', 'determined', 'that', 'this', 'finding', 'had', 'human', 'performance', 'cross', 'cutting', 'aspect', 'in', 'the', 'area', 'of', 'work']",40,2883,2997,ML14087A338.txt,H,P
801,"['the', 'team', 'determined', 'that', 'the', 'licensee', 'had', 'not', 'met', 'commitment', 'to', 'develop', 'reactor', 'vessel', 'internals', 'program', 'aging', 'management', 'program', 'as', 'described', 'in', 'letter', 'to', 'attachment', 'arkansas', 'nuclear', 'unit']",82,2258,2485,ML14087A338.txt,P,P
894,"['failure', 'to', 'reassess', 'the', 'effects', 'of', 'aging']",96,2276,2330,ML14087A338.txt,T,P
2348,"['the', 'corrective', 'actions', 'that', 'resulted', 'from', 'the', 'review', 'of', 'the', 'tn', 'bulletin', 'as', 'documented', 'in', 'the', 'condition', 'report', 'included', 'the', 'revision', 'to', 'comanche', 'peak', 'procedure', 'to', 'require', 'the', 'dcs', 'project', 'manager', 'to', 'verify', 'that', 'there', 'had', 'been', 'no', 'change', 'to', 'either', 'the', 'welding', 'equipment', 'or', 'hydrogen', 'gas', 'monitors', 'or', 'their', 'setups', 'prior', 'to', 'each', 'new', 'loading']",66,118,498,ML13298A103.txt,P,P
2788,"['of', 'the', 'limerick', 'generating', 'station', 'operating', 'in', 'that', 'exelon', 'did', 'not', 'provide', 'adequate', 'procedural', 'guidance', 'for', 'transporting', 'the', 'fire', 'brigade', 'and', 'equipment', 'to', 'the', 'spray', 'pond', 'pump']",42,1128,1323,ML13182A476.txt,P,P
