,end_pos,file,line,start_pos,text,Y,Predicted_Values
41,2241,ML14041A484.txt,31,1993,"['the', 'inspectors', 'determined', 'that', 'failure', 'to', 'assess', 'risk', 'associated', 'with', 'an', 'emergent', 'maintenance', 'activity', 'in', 'accordance', 'with', 'station', 'procedure', 'ap', 'nuclear', 'safety', 'and', 'generation', 'risk', 'step', 'was', 'performance']",P,T
50,424,ML14041A484.txt,35,181,"['of', 'crews', 'failed', 'the', 'simulator', 'scenario', 'portion', 'of', 'the', 'operating', 'and', 'of', 'licensed', 'operators', 'either', 'failed', 'the', 'scenario', 'or', 'failed', 'the', 'job', 'performance', 'measure', 'portions', 'of', 'the', 'operating']",O,O
194,1896,ML14041A484.txt,103,1539,"['realizing', 'potential', 'the', 'inspectors', 'brought', 'the', 'oversight', 'to', 'the', 'attention', 'of', 'licensee', 'who', 'immediately', 'directed', 'an', 'assessment', 'of', 'risk', 'and', 'wrote', 'condition', 'report', 'to', 'ensure', 'capture', 'of', 'emergent', 'switchyard', 'degraded', 'conditions', 'into', 'their', 'online', 'risk', 'assessment', 'program', 'as', 'required', 'by', 'cfr', 'and', 'station', 'procedure', 'ap']",O,P
293,2563,ML14041A484.txt,145,2303,"['the', 'licensee', 'confirmed', 'on', 'november', 'that', 'edcp', 'was', 'not', 'correctly', 'applying', 'the', 'default', 'noble', 'gas', 'to', 'iodine', 'resulting', 'in', 'an', 'overestimate', 'of', 'the', 'concentration', 'of', 'iodine', 'and', 'particulates', 'by', 'factor', 'of', 'and', 'an', 'overestimate', 'of', 'the', 'thyroid', 'cde']",D,P
369,570,ML14041A484.txt,183,418,"['findings', 'failure', 'to', 'preclude', 'repetition', 'of', 'significant', 'condition', 'adverse', 'to', 'quality', 'affecting', 'the', 'train', 'class', 'air', 'conditioning', 'unit']",T,D
371,1027,ML14041A484.txt,183,772,"['the', 'licensee', 'failed', 'to', 'determine', 'the', 'cause', 'of', 'the', 'train', 'class', 'air', 'conditioner', 'slug', 'flow', 'in', 'the', 'refrigerant', 'prior', 'to', 'experiencing', 'multiple', 'failures', 'and', 'plant', 'shutdowns', 'of', 'the', 'train', 'class', 'air', 'conditioner', 'slug', 'flow', 'in', 'the']",T,O
411,938,ML14041A484.txt,191,785,"['failure', 'to', 'preclude', 'repetitive', 'failures', 'of', 'the', 'train', 'class', 'air', 'significant', 'condition', 'adverse', 'to', 'is', 'performance']",T,T
655,2072,ML14087A338.txt,40,1916,"['the', 'team', 'determined', 'that', 'the', 'failure', 'to', 'assess', 'previous', 'indications', 'of', 'concrete', 'as', 'specified', 'in', 'plant', 'was', 'performance']",T,O
821,2427,ML14087A338.txt,84,2258,"['the', 'team', 'determined', 'that', 'the', 'program', 'document', 'did', 'not', 'describe', 'scheduling', 'basis', 'of', 'line', 'basis', 'for', 'inspection', 'and', 'plans', 'for']",P,O
889,1413,ML14087A338.txt,96,1221,"['during', 'discussions', 'the', 'team', 'determined', 'that', 'the', 'licensee', 'had', 'not', 'established', 'method', 'to', 'consistently', 'evaluate', 'previously', 'identified', 'conditions', 'as', 'specified', 'in', 'their', 'plant']",P,O
896,2888,ML14087A338.txt,96,2604,"['the', 'licensee', 'failed', 'to', 'perform', 'subsequent', 'visual', 'inspection', 'of', 'concrete', 'cracks', 'that', 'exceeded', 'acceptable', 'criteria', 'in', 'the', 'previous', 'inspection', 'as', 'specified', 'in', 'procedure', 'and', 'detailed', 'visual', 'examinations', 'of', 'concrete', 'revision']",T,P
932,2162,ML14087A338.txt,102,1857,"['because', 'this', 'finding', 'was', 'of', 'very', 'low', 'safety', 'significance', 'and', 'had', 'been', 'entered', 'into', 'the', 'corrective', 'action', 'this', 'violation', 'is', 'being', 'treated', 'as', 'violation', 'in', 'accordance', 'with', 'section', 'of', 'the', 'nrc', 'enforcement', 'ncv', 'to', 'reassess', 'the', 'effects', 'of']",O,O
1228,2960,ML14087A338.txt,142,2889,"['or', 'structures', 'as', 'whole', 'for', 'other', 'than', 'the', 'planned']",P,O
