,end_pos,file,line,start_pos,text,Y,Predicted_Values
176,819,ML14041A484.txt,99,573,"['the', 'inspectors', 'identified', 'green', 'violation', 'of', 'cfr', 'for', 'the', 'failure', 'to', 'assess', 'risk', 'associated', 'with', 'an', 'emergent', 'maintenance', 'activity', 'performed', 'on', 'one', 'of', 'the', 'offsite', 'power', 'circuit', 'components', 'inside', 'the', 'wolf', 'creek']",O,O
195,2008,ML14041A484.txt,103,1896,"['this', 'condition', 'was', 'later', 'able', 'to', 'be', 'analyzed', 'as', 'acceptable', 'without', 'performing', 'field', 'work', 'on', 'the', 'offsite']",T,O
205,348,ML14041A484.txt,107,189,"['the', 'analyst', 'made', 'the', 'bounding', 'assumption', 'that', 'inappropriate', 'maintenance', 'on', 'the', 'breaker', 'could', 'have', 'resulted', 'in', 'the', 'failure', 'of', 'bus']",O,O
408,369,ML14041A484.txt,191,214,"['the', 'root', 'cause', 'analysis', 'also', 'determined', 'that', 'the', 'work', 'performed', 'under', 'work', 'order', 'was', 'not', 'in', 'accordance', 'with', 'station', 'procedural']",T,O
659,2997,ML14087A338.txt,40,2883,"['the', 'team', 'determined', 'that', 'this', 'finding', 'had', 'human', 'performance', 'cross', 'cutting', 'aspect', 'in', 'the', 'area', 'of', 'work']",O,O
821,2427,ML14087A338.txt,84,2258,"['the', 'team', 'determined', 'that', 'the', 'program', 'document', 'did', 'not', 'describe', 'scheduling', 'basis', 'of', 'line', 'basis', 'for', 'inspection', 'and', 'plans', 'for']",O,O
924,429,ML14087A338.txt,102,315,"['the', 'team', 'determined', 'that', 'this', 'finding', 'had', 'human', 'performance', 'cross', 'cutting', 'aspect', 'in', 'the', 'area', 'of', 'work']",O,O
1391,1550,ML14087A338.txt,170,1276,"['although', 'the', 'licensee', 'would', 'revise', 'technical', 'specification', 'or', 'shut', 'down', 'prior', 'to', 'exceeding', 'effective', 'full', 'power', 'the', 'team', 'concluded', 'the', 'licensee', 'had', 'not', 'met', 'the', 'conditions', 'for', 'meeting', 'this', 'aging', 'analysis', 'prior', 'to', 'the', 'period', 'of', 'extended']",O,O
1938,1911,ML12027A131.txt,162,1750,"['the', 'performance', 'deficiency', 'affected', 'the', 'and', 'capability', 'of', 'the', 'unit', 'tdafw', 'pump', 'to', 'provide', 'secondary', 'decay', 'heat']",O,O
2582,2487,ML11244A041.txt,53,2225,"['some', 'of', 'these', 'examples', 'ar', 'pitting', 'and', 'corrosion', 'on', 'sw', 'piping', 'between', 'and', 'the', 'operability', 'section', 'stated', 'that', 'system', 'is', 'not', 'in', 'service', 'but', 'this', 'issue', 'needs', 'resolution', 'prior', 'to', 'relying', 'upon', 'eh']",O,O
3312,137,ML13182A476.txt,80,25,"['the', 'inspectors', 'also', 'verified', 'that', 'this', 'switch', 'was', 'not', 'operated', 'or', 'tested', 'as', 'part', 'of', 'routine', 'breaker']",O,O
4035,1318,ML071350662.txt,167,1123,"['the', 'licensee', 'identified', 'that', 'maintenance', 'craftsmen', 'had', 'failed', 'to', 'follow', 'loop', 'calibration', 'procedure', 'for', 'the', 'train', 'reactor', 'auxiliary', 'building', 'controlled', 'ventilation', 'system', 'on', 'january']",T,O
